cytokine,treatment,donor_1,donor_2,donor_3,histo_5,histo_4
il.8,HMPOS ,24541,32191,22283,Osteosarcoma,Sarcoma
il.8,Jones ,22658,35295,28578,Melanoma,Melanoma
il.8,MacKinley,26430,35049,22745,Osteosarcoma,Sarcoma
il.8,Nike ,26856,43803,35200,Hematopoietic,Hematopoietic
il.8,Moresco ,25911,11580,35934,Osteosarcoma,Sarcoma
il.8,OS2.4 ,18017,26448,18981,Osteosarcoma,Sarcoma
il.8,OSA8 ,12579,32028,20985,Osteosarcoma,Sarcoma
il.8,Parks ,22183,37051,44175,Melanoma,Melanoma
il.8,STSA-1 ,14106,17530,39237,Sarcoma,Sarcoma
il.8,Vogel ,7787,30828,20597,Osteosarcoma,Sarcoma
il.8,Yamane,9303,36105,20333,Osteosarcoma,Sarcoma
kc.like,D-17 ,1263,1360,1043,Osteosarcoma,Sarcoma
kc.like,1771 ,1351,1118,701.25,Hematopoietic,Hematopoietic
kc.like,17CM98 ,1085,1387,1003,Melanoma,Melanoma
kc.like,Abrams ,1122,1688,1112,Osteosarcoma,Sarcoma
kc.like,Bliley ,1237,694.98,1008,Carcinoma,Carcinoma
kc.like,CLL1390 ,1323,687.2,867.68,Hematopoietic,Hematopoietic
kc.like,CML-10C2 ,1067,895.15,959.04,Melanoma,Melanoma
kc.like,CML-6M ,1136,849.12,1122,Melanoma,Melanoma
kc.like,CMT12,1130,932.96,1080,Carcinoma,Carcinoma
kc.like,CMT27,1281,625.11,1074,Carcinoma,Carcinoma
kc.like,CTAC ,1032,1055,789.51,Carcinoma,Carcinoma
kc.like,DEN ,1090,931.84,998.76,Sarcoma,Sarcoma
kc.like,DH82 ,1069,988.43,1046,Hematopoietic,Hematopoietic
kc.like,Gracie ,1118,1049,1048,Osteosarcoma,Sarcoma
kc.like,HMPOS ,1086,971.81,832.62,Osteosarcoma,Sarcoma
kc.like,Jones ,1093,992.04,937.2,Melanoma,Melanoma
kc.like,MacKinley,1091,976.53,807.64,Osteosarcoma,Sarcoma
kc.like,Nike ,1196,990.43,959.6,Hematopoietic,Hematopoietic
kc.like,Moresco ,1055,572.44,923.14,Osteosarcoma,Sarcoma
kc.like,OS2.4 ,985.3,966.46,956.25,Osteosarcoma,Sarcoma
kc.like,OSA8 ,1105,895.9,1039,Osteosarcoma,Sarcoma
kc.like,Parks ,1172,975.02,1061,Melanoma,Melanoma
kc.like,STSA-1 ,731.93,741.16,1011,Sarcoma,Sarcoma
kc.like,Vogel ,600.59,991.02,973.6,Osteosarcoma,Sarcoma
kc.like,Yamane,821.43,997.71,900.4,Osteosarcoma,Sarcoma
il.10,D-17 ,212.62,60.39,101.64,Osteosarcoma,Sarcoma
il.10,1771 ,300.89,82.12,41.67,Hematopoietic,Hematopoietic
il.10,17CM98 ,435.5,1088,118.39,Melanoma,Melanoma
il.10,Abrams ,462.4,1430,192.21,Osteosarcoma,Sarcoma
il.10,Bliley ,389.33,52.71,107.49,Carcinoma,Carcinoma
il.10,CLL1390 ,156.9,72.79,72.88,Hematopoietic,Hematopoietic
il.10,CML-10C2 ,188.96,2055,73.58,Melanoma,Melanoma
