ID,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000213,COMMD10,7.246759475,-0.620017787,0.302827773,-2.047427094,0.040616168,0.392040344
ENSCAFG00000000214,ARL14EPL,446.971639,0.054516977,0.264720181,0.205941901,0.836836295,0.97030002
ENSCAFG00000000215,LVRN,4886.377585,0.309270396,0.214398378,1.442503432,0.149160404,0.620357492
ENSCAFG00000000217,NDUFA4L2,506.2680783,0.644528111,0.605819975,1.063893794,0.287376815,0.750322902
ENSCAFG00000000219,AP3S1,708.0505332,0.525222521,0.315621535,1.664089623,0.09609452,0.530998491
ENSCAFG00000000220,ATG12,2.563719466,0.751218289,2.241234197,0.335180629,0.737488833,0.942475583
ENSCAFG00000000221,TCF21,14.08808102,0.572908796,0.544062198,1.053020773,0.292331472,0.75570218
ENSCAFG00000000223,CDO1,364.3126114,0.883613611,0.542646775,1.628340299,0.103452749,0.543001183
ENSCAFG00000000224,TBPL1,1359.767716,0.27825289,0.222423984,1.251002185,0.21093368,0.691699915
ENSCAFG00000000225,TMED7,92.16754277,0.12013501,0.737169662,0.162967924,0.87054369,0.978513833
ENSCAFG00000000226,FEM1C,2361.849392,0.156064577,0.160039155,0.975164967,0.329478437,0.780887933
ENSCAFG00000000228,NA,4255.108563,-0.359753709,0.254193827,-1.415273192,0.156988412,0.629959012
ENSCAFG00000000229,SLC2A12,3894.293196,0.039883805,0.21754538,0.183335563,0.854534732,0.975021579
ENSCAFG00000000230,NA,82.52498564,0.685914059,0.626718691,1.094452852,0.273756415,0.739536641
ENSCAFG00000000231,CCDC112,1471.70402,0.121881987,0.224531859,0.542827141,0.587248824,0.897674997
ENSCAFG00000000233,R3HDM2,3991.86747,0.034029112,0.238078715,0.142932189,0.886343737,0.981845828
ENSCAFG00000000234,SGK1,1105.602475,-0.218838606,0.253468757,-0.863375073,0.38793128,0.813443555
ENSCAFG00000000235,TRIM36,244.8036346,0.212393122,0.696777714,0.304821922,0.760501784,0.950350113
ENSCAFG00000000236,KCNN2,1987.819229,0.105112754,0.228876982,0.459254369,0.646051512,0.915733783
ENSCAFG00000000237,ALDH8A1,24.33524753,0.324249757,0.449862073,0.720775937,0.471047383,0.853871391
ENSCAFG00000000238,GLI1,318.3733667,0.302748599,0.250937981,1.206467823,0.227637159,0.704618662
ENSCAFG00000000239,YTHDC2,197.1015609,-2.266778325,1.098575279,-2.06338006,0.039076533,0.389780596
ENSCAFG00000000240,NA,2776.196312,0.230032341,0.206151333,1.115842121,0.26448972,0.733166991
ENSCAFG00000000241,HBS1L,10971.6728,0.041883188,0.194622876,0.215201772,0.829610009,0.968313051
ENSCAFG00000000242,TMED9,641.709332,0.123971833,0.217904788,0.568926614,0.569405943,0.89083833
ENSCAFG00000000244,MARS1,1903.206412,-0.080603465,0.219122588,-0.367846444,0.712987736,0.934962525
ENSCAFG00000000245,MYB,5405.387677,0.134170093,0.115988948,1.156748948,0.247374945,0.722312255
