gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000003623,HMGN3,392.4930628,-0.026027707,0.104838922,0.306944199,0.92434798
ENSCAFG00000017889,NA,563.8906738,-0.026029678,0.119885788,0.195196234,0.870705779
ENSCAFG00000029969,SETD3,306.4002333,-0.026030365,0.231602309,0.167505526,0.848788836
ENSCAFG00000007465,ANAPC11,385.2175869,-0.026034061,0.139689883,0.158402327,0.833870209
ENSCAFG00000002645,CA9,186.488205,-0.026039604,0.178148347,0.146757971,0.816489686
ENSCAFG00000005722,TRH,1043.592138,-0.026051329,0.093156035,0.454987609,0.957497553
ENSCAFG00000005006,ITSN2,1210.831585,-0.026055564,0.099567052,0.384051895,0.947912467
ENSCAFG00000048980,NA,3.182365829,-0.026066081,0.128724312,0.172689102,0.851734841
ENSCAFG00000025841,ZMYM3,23.32066728,-0.026086595,0.138776089,0.158824234,0.83455361
ENSCAFG00000044777,STRBP,70.11610667,-0.026090033,0.116525742,0.207801652,0.876128031
ENSCAFG00000013232,SLK,20643.5921,-0.026092193,0.095593594,0.431987124,0.95483102
ENSCAFG00000018888,ECE1,2326.61031,-0.026093148,0.089909204,0.476913442,0.960753709
ENSCAFG00000029845,NA,1044.599519,-0.026101036,0.100755407,0.366344208,0.945475913
ENSCAFG00000000379,NA,1020.48921,-0.026103708,0.100648092,0.367887331,0.945475913
ENSCAFG00000031151,NA,85.17805047,-0.026111068,0.097915716,0.405229495,0.952167122
ENSCAFG00000014651,COA6,1659.85514,-0.026117613,0.095997431,0.427391791,0.95386019
ENSCAFG00000010779,NA,239.9468757,-0.026118361,0.098662941,0.395506395,0.950540728
ENSCAFG00000015509,MYLK,1066.735571,-0.026119727,0.105524729,0.296608353,0.917233702
ENSCAFG00000020385,DNAJB1,247.9832542,-0.026148252,0.093645665,0.449493086,0.956856831
ENSCAFG00000015323,BMP7,4.939422362,-0.026170975,0.191641653,0.148036504,0.817604948
ENSCAFG00000007932,P2RX2,1581.815058,-0.026181017,0.105605381,0.294845523,0.915477838
ENSCAFG00000014927,ANP32E,1630.899461,-0.026198312,0.096628925,0.419322366,0.952284796
ENSCAFG00000001398,MYC,634.8136941,-0.026200019,0.117307835,0.20333545,0.875815891
ENSCAFG00000018865,PGPEP1,5645.231402,-0.026201498,0.101536255,0.353427593,0.939581142
ENSCAFG00000042871,NA,160.383245,-0.026219011,0.107669512,0.269726243,0.904701441
ENSCAFG00000041945,MIDN,27.97452854,-0.026235105,0.099243831,0.386101624,0.948032655
ENSCAFG00000002187,CUL7,245.37502,-0.026249414,0.110677271,0.241363344,0.892840737
ENSCAFG00000006290,ZACN,6108.902638,-0.026249506,0.093589187,0.448510448,0.956856831
ENSCAFG00000010590,C33H3orf38,920.4305694,-0.026249706,0.083833136,0.500250387,0.968128915
ENSCAFG00000021325,CD6,4.257102691,-0.026260389,0.130112739,0.16853302,0.849394206
ENSCAFG00000007270,ZMAT4,586.1281417,-0.026262511,0.101426274,0.354291259,0.939723419
ENSCAFG00000047747,NA,7.277658153,-0.026267679,0.120854683,0.189790764,0.865503702
ENSCAFG00000015546,IP6K2,2679.380432,-0.026276902,0.106746393,0.279553302,0.908880021
ENSCAFG00000003984,UBE2J1,513.564056,-0.026291077,0.093013453,0.452660415,0.956952908
ENSCAFG00000030944,PPP1R13B,12.46541963,-0.026307002,0.10897154,0.255567038,0.897246562
ENSCAFG00000046994,NA,6.77595584,-0.026314671,0.159069163,0.145438054,0.81526199
ENSCAFG00000016496,FBXW12,1103.739013,-0.026318816,0.102244196,0.341317881,0.937229951
ENSCAFG00000011752,OLFML3,948.9500731,-0.026364991,0.084074624,0.497842808,0.967043377
ENSCAFG00000001125,MPPED1,4460.477965,-0.026392354,0.099523895,0.380135631,0.946872952
ENSCAFG00000003842,REL,1183.092714,-0.026395525,0.104207103,0.311478828,0.92669841
ENSCAFG00000008658,RB1CC1,893.0788889,-0.026408853,0.106822015,0.27720496,0.906857959
ENSCAFG00000014745,NA,8.51462188,-0.026433334,0.109341506,0.250805156,0.89636624
ENSCAFG00000016798,SMARCC1,106.4875263,-0.026446295,0.119538616,0.192490193,0.869434258
