gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,
ENSCAFG00000013102,CTTN,5355.075515,0.281718993,0.806805488,0.00158814,0.297855624,,,,
ENSCAFG00000005054,ADCY3,299.3675314,0.101374273,0.188138032,0.001646008,0.302481586,,,,
ENSCAFG00000010089,NA,369.0548011,-0.108762308,0.110147112,0.001656458,0.302481586,,,,
ENSCAFG00000019177,TRPM7,15.48955022,-0.296582269,0.861896697,0.001676609,0.302481586,,,,
ENSCAFG00000020386,TP53BP2,52.88594164,-0.477007596,1.453789304,0.001693445,0.302481586,,,,
ENSCAFG00000005659,GPR142,879.6557175,0.09990746,0.149425248,0.001723278,0.304188929,,,,
ENSCAFG00000009894,NA,202.6904229,0.09881648,0.166911019,0.001754829,0.306156486,,,,
ENSCAFG00000009016,ASAH1,427.2282433,0.106486451,0.110122422,0.001804883,0.307732577,,,,
ENSCAFG00000018922,IFFO1,153.098113,-0.098314455,0.161867646,0.001788214,0.307732577,,,,
ENSCAFG00000008527,CYB5R2,497.9110916,0.43950363,1.360544158,0.001843684,0.310816204,,,,
ENSCAFG00000010784,DCP1A,41.09841605,-0.205291934,0.6284538,0.001878127,0.313104643,,,,
ENSCAFG00000013601,PFKL,4151.619506,-0.118510179,0.08916022,0.001936669,0.314309775,,,,
ENSCAFG00000014785,TAF12,1434.133354,0.10332712,0.253001398,0.001948201,0.314309775,,,,
ENSCAFG00000041926,NOTCH1,50.59369785,-0.370005275,1.132302884,0.00194608,0.314309775,,,,
ENSCAFG00000000245,TBPL1,5239.277976,0.121915416,0.084661563,0.002055623,0.316666567,,,,
ENSCAFG00000011248,CCDC184,74.10626947,-0.097685201,0.217337168,0.002008304,0.316666567,,,,
ENSCAFG00000012816,KCNJ5,76.22660343,-0.142544495,0.438184668,0.002057397,0.316666567,,,,
ENSCAFG00000016503,PCYT1A,9.703524045,-0.334918549,1.032865035,0.002002252,0.316666567,,,,
ENSCAFG00000048623,NA,7.891484615,-0.281750563,0.884715372,0.002089442,0.316666567,,,,
ENSCAFG00000049541,SERPINB12,40.41745514,-0.199467342,0.631408302,0.002076866,0.316666567,,,,
ENSCAFG00000014062,PAPSS1,772.1397565,0.097984502,0.120326986,0.002174666,0.326286938,,,,
ENSCAFG00000012135,SEMA4G,11.73972727,-0.268061365,0.859732224,0.002209703,0.328261268,,,,
ENSCAFG00000037208,SDF4,3.465013665,0.237984964,0.776901018,0.002302539,0.338699033,,,,
ENSCAFG00000004489,HACE1,795.1636647,0.136280177,0.437409778,0.002350831,0.342445344,,,,
ENSCAFG00000012669,DSCAM,40.78511956,-0.202836805,0.672367049,0.002384079,0.343949281,,,,
ENSCAFG00000031277,IL23R,120.6166642,-0.089240676,0.177939029,0.002446083,0.349533604,,,,
ENSCAFG00000020135,NA,1042.697982,-0.099731715,0.283606256,0.002526311,0.357592177,,,,
ENSCAFG00000019461,RTN1,575.7533811,-0.118600905,0.082975948,0.002650657,0.371686572,,,,
ENSCAFG00000029729,NA,333.1395686,0.102123537,0.097921199,0.002766732,0.380844501,,,,
ENSCAFG00000047566,NA,6.068518202,-0.226045404,0.785839575,0.002748661,0.380844501,,,,
ENSCAFG00000005662,GPALPP1,20.19585658,-0.269416326,0.954554302,0.002863755,0.390616137,,,,
ENSCAFG00000018411,NA,1304.443463,0.087652482,0.129835014,0.002922546,0.39504399,,,,
ENSCAFG00000004131,PLEK,12.9312711,0.126193792,0.439044743,0.002993285,0.400993271,,,,
ENSCAFG00000011612,SLC38A1,2191.773506,-0.088170574,0.122528766,0.003051643,0.40519342,,,,
ENSCAFG00000001632,DEF6,78.44059214,-0.087393262,0.253204294,0.003236763,0.40765103,,,,
ENSCAFG00000004700,FOXO3,1207.300723,0.096931843,0.0998115,0.003206673,0.40765103,,,,
ENSCAFG00000006471,DNAJB6,189.2787593,0.094016276,0.105127148,0.003157377,0.40765103,,,,
ENSCAFG00000008430,CALCOCO1,170.3184296,0.230971444,0.847413398,0.003173663,0.40765103,,,,
ENSCAFG00000009349,SMYD1,544.1852441,-0.110741485,0.085789731,0.003240877,0.40765103,,,,
ENSCAFG00000014871,NA,630.6080067,0.083593995,0.135324022,0.003273963,0.40765103,,,,
ENSCAFG00000015298,NA,42.0411751,-0.254495156,0.954394812,0.003287508,0.40765103,,,,
ENSCAFG00000016604,EGR2,1097.825755,-0.105816108,0.356191831,0.003153372,0.40765103,,,,
ENSCAFG00000023057,ADAM10,665.2776415,-0.098403501,0.331291488,0.003398442,0.417952638,,,,
ENSCAFG00000011952,PNPLA2,61.56566626,0.083117753,0.129515417,0.003465371,0.419309837,,,,
ENSCAFG00000014356,ZNFX1,9.612527017,-0.167332407,0.630297995,0.003456332,0.419309837,,,,
ENSCAFG00000003793,HOXA7,335.472884,0.12236834,0.451574767,0.003517974,0.422269435,,,,
ENSCAFG00000007107,SLC26A11,16.87543078,-0.153338005,0.584184096,0.003598503,0.428507432,,,,
ENSCAFG00000016044,METTL8,1232.259139,-0.268059006,1.09658126,0.003630648,0.428931073,,,,
ENSCAFG00000010654,PPP1CC,66.61454404,-0.259748107,1.048652278,0.003683836,0.43181462,,,,
ENSCAFG00000003749,CLEC11A,193.1177323,0.096588365,0.339373681,0.003753749,0.434945202,,,,
ENSCAFG00000023774,MRPL24,28.79808809,-0.2413243,0.96152788,0.00376852,0.434945202,,,,
ENSCAFG00000002490,SH3RF3,2299.610105,-0.089913264,0.103092709,0.003860034,0.442106528,,,,
ENSCAFG00000013728,EXOC3,309.34719,-0.181282994,0.715286124,0.003902747,0.443612289,,,,
ENSCAFG00000020121,TMEM82,20.22205677,-0.144008998,0.565975369,0.003954931,0.446163841,,,,
ENSCAFG00000001004,HLA-DQB2,375.8188762,0.079247449,0.123288133,0.004232752,0.44777121,,,,
ENSCAFG00000010470,RNF13,48.53784946,0.074851593,0.200953019,0.004238784,0.44777121,,,,
ENSCAFG00000010597,MOGS,2549.327263,0.074492085,0.167106702,0.004183988,0.44777121,,,,
ENSCAFG00000011451,NA,1521.160196,-0.084668652,0.108328785,0.004224696,0.44777121,,,,
ENSCAFG00000015872,TACC2,702.6497495,-0.08257827,0.268242179,0.004080309,0.44777121,,,,
ENSCAFG00000016357,NA,4686.7775,-0.075487906,0.201133616,0.004140457,0.44777121,,,,
ENSCAFG00000018175,ASCC1,35.15685214,-0.230091957,0.981238714,0.004293463,0.44777121,,,,
ENSCAFG00000024099,CBX1,40.22345987,-0.227591931,0.963171641,0.004280671,0.44777121,,,,
ENSCAFG00000030102,CCDC178,107.0379963,-0.207512675,0.83819413,0.004063461,0.44777121,,,,
ENSCAFG00000031366,GHR,7.40725608,0.096121179,0.361104122,0.004297458,0.44777121,,,,
ENSCAFG00000046241,NA,83.36825947,0.146495803,0.586752792,0.004151448,0.44777121,,,,
ENSCAFG00000002227,TMEM263,340.9893685,0.073557124,0.167538859,0.0043348,0.448547139,,,,
ENSCAFG00000001623,ENTHD1,107.1677274,0.20580766,0.898426042,0.004751836,0.450919863,,,,
ENSCAFG00000001947,CNTLN,6.940835297,0.100562254,0.401626022,0.004729354,0.450919863,,,,
ENSCAFG00000004784,TAS2R38,368.3581928,0.07203721,0.184083164,0.004602394,0.450919863,,,,
ENSCAFG00000005050,UBN2,14.91734794,-0.193385683,0.8349739,0.004781272,0.450919863,,,,
ENSCAFG00000015428,NPEPL1,13.42681202,-0.209701354,0.897596246,0.004554323,0.450919863,,,,
ENSCAFG00000016200,MTFR1L,4415.120908,0.085429674,0.317442654,0.004746735,0.450919863,,,,
ENSCAFG00000018545,GPR137C,285.438949,0.072408661,0.146652988,0.004736781,0.450919863,,,,
ENSCAFG00000019042,VAMP1,615.8141921,-0.09310721,0.093981717,0.004506029,0.450919863,,,,
ENSCAFG00000019794,PLD2,178.4705765,-0.207173543,0.891711175,0.004624599,0.450919863,,,,
ENSCAFG00000019795,KIF26B,88.90326288,0.205448114,0.874988282,0.004552658,0.450919863,,,,
ENSCAFG00000019867,JUP,667.0217769,-0.081026608,0.110963428,0.004635174,0.450919863,,,,
ENSCAFG00000020343,NA,196.6512378,0.187826713,0.784197857,0.004476613,0.450919863,,,,
ENSCAFG00000020380,DCAF15,148.4790202,-0.204368211,0.892108489,0.004768583,0.450919863,,,,
ENSCAFG00000031941,ADAMTS12,69.87499522,0.12414841,0.518086529,0.004790374,0.450919863,,,,
ENSCAFG00000049756,TNFRSF12A,29.2881379,-0.198222315,0.862511248,0.00480853,0.450919863,,,,
ENSCAFG00000019126,B3GNT3,24.82944419,-0.172263746,0.738335105,0.004843238,0.451353713,,,,
ENSCAFG00000009202,PAH,2082.559968,0.082563389,0.104598298,0.004938024,0.454500003,,,,
ENSCAFG00000012836,RAP1GDS1,525.5704914,-0.115658249,0.48536418,0.004967875,0.454500003,,,,
ENSCAFG00000048079,NA,461.8770292,0.087671144,0.097141107,0.004967362,0.454500003,,,,
ENSCAFG00000025599,DCST2,14.92430387,-0.171308124,0.744272803,0.005007057,0.455308426,,,,
ENSCAFG00000009800,NA,106.2042413,0.128033755,0.548088891,0.00507819,0.458994971,,,,
ENSCAFG00000019312,VDAC2,26.51186287,-0.163647308,0.717019601,0.005156086,0.460487596,,,,
ENSCAFG00000024758,AREL1,34.82612816,-0.197012698,0.890856509,0.005143298,0.460487596,,,,
ENSCAFG00000010961,MSH3,2292.20138,-0.096073949,0.088404172,0.005222928,0.460971547,,,,
ENSCAFG00000013179,PUS3,216.0116082,-0.071084679,0.136952007,0.005222951,0.460971547,,,,
ENSCAFG00000047010,NA,22.78509262,-0.158370099,0.704713606,0.00538571,0.472556665,,,,
