,ensembl_gene_id,Hugo_Symbol
210,ENSCAFG00000000265,OLIG3
211,ENSCAFG00000000267,TNFAIP3
212,ENSCAFG00000000268,PROP1
213,ENSCAFG00000000271,NA
214,ENSCAFG00000000272,ARFGEF3
215,ENSCAFG00000000273,AGAP2
216,ENSCAFG00000000274,HEBP2
217,ENSCAFG00000000275,NHSL1
218,ENSCAFG00000000277,CCDC28A
219,ENSCAFG00000000278,TSPAN31
220,ENSCAFG00000000279,REPS1
221,ENSCAFG00000000280,CDK4
222,ENSCAFG00000000281,ABRACL
223,ENSCAFG00000000282,HECA
224,ENSCAFG00000000283,TXLNB
225,ENSCAFG00000000285,CITED2
226,ENSCAFG00000000287,CYP27B1
227,ENSCAFG00000000289,NA
228,ENSCAFG00000000290,METTL1
229,ENSCAFG00000000291,NA
230,ENSCAFG00000000293,TSFM
231,ENSCAFG00000000294,NMBR
232,ENSCAFG00000000295,VTA1
233,ENSCAFG00000000296,ADGRG6
234,ENSCAFG00000000297,AVIL
235,ENSCAFG00000000300,HIVEP2
236,ENSCAFG00000000303,AIG1
237,ENSCAFG00000000304,NA
238,ENSCAFG00000000305,ADAT2
239,ENSCAFG00000000307,PEX3
240,ENSCAFG00000000308,CTDSP2
241,ENSCAFG00000000309,FUCA2
242,ENSCAFG00000000310,ATP23
243,ENSCAFG00000000311,LRIG3
244,ENSCAFG00000000312,PHACTR2
245,ENSCAFG00000000314,NA
246,ENSCAFG00000000316,SLC16A7
247,ENSCAFG00000000317,ZC2HC1B
248,ENSCAFG00000000318,PLAGL1
249,ENSCAFG00000000320,SERF2
250,ENSCAFG00000000322,STX11
251,ENSCAFG00000000323,USP15
252,ENSCAFG00000000326,UTRN
253,ENSCAFG00000000327,NA
254,ENSCAFG00000000329,EPM2A
255,ENSCAFG00000000330,FBXO30
256,ENSCAFG00000000331,NA
257,ENSCAFG00000000332,GRM6
258,ENSCAFG00000000333,MON2
259,ENSCAFG00000000334,ADAMTS2
260,ENSCAFG00000000335,SHPRH
261,ENSCAFG00000000336,HNRNPH1
262,ENSCAFG00000000337,PPM1H
263,ENSCAFG00000000338,GRM1
264,ENSCAFG00000000339,AVPR1A
265,ENSCAFG00000000340,NA
266,ENSCAFG00000000341,NA
267,ENSCAFG00000000344,RUFY1
268,ENSCAFG00000000345,SRGAP1
269,ENSCAFG00000000347,CBY3
270,ENSCAFG00000000348,CANX
271,ENSCAFG00000000350,MAML1
272,ENSCAFG00000000351,C10H12orf56
273,ENSCAFG00000000352,XPOT
274,ENSCAFG00000000353,STXBP5
275,ENSCAFG00000000354,LTC4S
276,ENSCAFG00000000355,MGAT4B
277,ENSCAFG00000000356,TBK1
278,ENSCAFG00000000359,GNS
279,ENSCAFG00000000360,SQSTM1
280,ENSCAFG00000000361,TBC1D30
281,ENSCAFG00000000364,WIF1
282,ENSCAFG00000000365,MRNIP
283,ENSCAFG00000000366,SASH1
284,ENSCAFG00000000367,ENPP3
285,ENSCAFG00000000370,NA
286,ENSCAFG00000000372,UST
287,ENSCAFG00000000373,TAB2
288,ENSCAFG00000000374,IRAK3
289,ENSCAFG00000000375,ZC3H12D
290,ENSCAFG00000000376,NA
291,ENSCAFG00000000377,NA
292,ENSCAFG00000000378,HELB
293,ENSCAFG00000000379,PPIL4
294,ENSCAFG00000000380,MED23
295,ENSCAFG00000000381,TBC1D9B
296,ENSCAFG00000000384,GRIP1
297,ENSCAFG00000000385,KATNA1
298,ENSCAFG00000000386,ARG1
299,ENSCAFG00000000387,LATS1
300,ENSCAFG00000000388,TRIM39
301,ENSCAFG00000000390,NUP43
302,ENSCAFG00000000391,RASGEF1C
303,ENSCAFG00000000393,PCMT1
304,ENSCAFG00000000394,RPP21
305,ENSCAFG00000000395,MAPK9
306,ENSCAFG00000000396,GNL1
307,ENSCAFG00000000397,CAND1
308,ENSCAFG00000000398,LRP11
309,ENSCAFG00000000399,NA
310,ENSCAFG00000000400,NA
311,ENSCAFG00000000402,PPP1R14C
312,ENSCAFG00000000404,IYD
313,ENSCAFG00000000405,PLEKHG1
314,ENSCAFG00000000406,PPP1R10
315,ENSCAFG00000000407,DYRK2
316,ENSCAFG00000000408,IFNG
317,ENSCAFG00000000409,IL26
318,ENSCAFG00000000410,IL22
319,ENSCAFG00000000411,MRPS18B
320,ENSCAFG00000000412,MDM1
321,ENSCAFG00000000413,MTHFD1L
322,ENSCAFG00000000414,ATAT1
323,ENSCAFG00000000415,RAP1B
324,ENSCAFG00000000416,C12H6orf136
325,ENSCAFG00000000417,NUP107
326,ENSCAFG00000000418,MDM2
327,ENSCAFG00000000419,AKAP12
328,ENSCAFG00000000422,ZBTB2
329,ENSCAFG00000000423,RMND1
330,ENSCAFG00000000424,CPSF6
331,ENSCAFG00000000425,ARMT1
332,ENSCAFG00000000426,LYZ
333,ENSCAFG00000000427,DHX16
334,ENSCAFG00000000428,YEATS4
335,ENSCAFG00000000429,CCDC170
336,ENSCAFG00000000430,ESR1
337,ENSCAFG00000000431,FRS2
338,ENSCAFG00000000432,CCT2
339,ENSCAFG00000000433,GFPT2
340,ENSCAFG00000000434,LRRC10
341,ENSCAFG00000000435,BEST3
342,ENSCAFG00000000436,RAB3IP
343,ENSCAFG00000000437,PPP1R18
344,ENSCAFG00000000439,MYRFL
345,ENSCAFG00000000441,CNOT2
346,ENSCAFG00000000442,MDC1
347,ENSCAFG00000000443,NA
