VEGF,,,,
GeneID,GeneName,Spearman_Correlation_Coefficient,P_value,qvalue
ENSCAFG00000004573,MMACHC,-0.517786561,0.012421897,1
ENSCAFG00000023748,GCNA,-0.512364247,0.012431873,1
ENSCAFG00000017362,NUP210L,-0.512110789,0.012482708,1
ENSCAFG00000047106,NA,-0.511709506,0.012563538,1
ENSCAFG00000044054,NA,-0.511708027,0.012563837,1
ENSCAFG00000047541,OTOGL,-0.51111013,0.01268507,1
ENSCAFG00000012320,TMEM89,-0.510916721,0.012724491,1
ENSCAFG00000016540,ARHGEF9,-0.510198546,0.01287175,1
ENSCAFG00000009022,TMEM64,-0.510007428,0.012911172,1
ENSCAFG00000033349,NA,0.509633658,0.012988556,1
ENSCAFG00000004899,SNX17,-0.514822134,0.013001459,1
ENSCAFG00000013092,BCLAF3,0.509513235,0.013013569,1
ENSCAFG00000015727,ARHGEF10L,0.509019042,0.013116629,1
ENSCAFG00000008168,TIGD4,-0.508776407,0.013167472,1
ENSCAFG00000005873,RFTN1,-0.513833992,0.013199547,1
ENSCAFG00000006918,MAP3K12,-0.513833992,0.013199547,1
ENSCAFG00000045557,NA,-0.508587039,0.013207266,1
ENSCAFG00000043497,NA,-0.508441824,0.013237848,1
ENSCAFG00000005673,LGALS4,-0.50724291,0.013492557,1
ENSCAFG00000033767,NA,-0.506884571,0.013569459,1
ENSCAFG00000017096,FARSA,0.511857708,0.013603216,1
ENSCAFG00000000131,GLS2,-0.506548076,0.013641999,1
ENSCAFG00000004825,ATRAID,-0.506548076,0.013641999,1
ENSCAFG00000004223,NA,0.506548076,0.013641999,1
ENSCAFG00000029249,ABT1,0.506053883,0.01374911,1
ENSCAFG00000023613,ANKRD54,0.510869565,0.013808845,1
ENSCAFG00000048831,NA,0.505621064,0.013843482,1
ENSCAFG00000021129,NA,-0.504230082,0.014150363,1
ENSCAFG00000004384,CTSC,0.508893281,0.014227812,1
ENSCAFG00000011813,ZNF217,0.508893281,0.014227812,1
ENSCAFG00000003277,ALLC,0.50302057,0.014421702,1
ENSCAFG00000015459,NA,0.507905138,0.014441199,1
ENSCAFG00000008349,DOK1,-0.507905138,0.014441199,1
ENSCAFG00000011174,CDAN1,-0.507905138,0.014441199,1
ENSCAFG00000015982,CDC42BPA,-0.507905138,0.014441199,1
ENSCAFG00000028908,NA,0.502718796,0.014490059,1
ENSCAFG00000030884,COA8,-0.502100337,0.014630977,1
ENSCAFG00000010293,CISH,0.506916996,0.01465722,1
ENSCAFG00000018607,DNAJC6,-0.506916996,0.01465722,1
ENSCAFG00000025195,NA,-0.506916996,0.01465722,1
ENSCAFG00000006057,NSD3,-0.501730165,0.014715856,1
ENSCAFG00000007151,IFIT5,0.505928854,0.014875901,1
ENSCAFG00000000140,TCF4,-0.505928854,0.014875901,1
ENSCAFG00000024215,NA,-0.500494805,0.015002029,1
ENSCAFG00000026445,NA,-0.500255855,0.015057902,1
ENSCAFG00000010793,SLC12A7,0.500123564,0.015088909,1
ENSCAFG00000018083,TMEM164,0.504940711,0.015097266,1
ENSCAFG00000028180,NA,-0.499608436,0.01521014,1
ENSCAFG00000017742,NA,-0.50000098,0.015117686,1
ENSCAFG00000028156,NA,-0.498649987,0.015437816,1
ENSCAFG00000018729,RSKR,-0.498269957,0.015528856,1
ENSCAFG00000017820,CD276,0.502964427,0.015548148,1
ENSCAFG00000044291,ZNF579,-0.502964427,0.015548148,1
ENSCAFG00000004379,FNDC3A,-0.498146791,0.015558456,1
ENSCAFG00000000606,LY6G5C,-0.497909886,0.015615518,1
ENSCAFG00000020027,MAF,0.497775642,0.015647928,1
ENSCAFG00000015635,NA,0.497652597,0.015677683,1
ENSCAFG00000010280,DZIP3,-0.497652597,0.015677683,1
ENSCAFG00000008462,NA,0.497399425,0.01573905,1
ENSCAFG00000044320,ZNF576,-0.501976285,0.015777716,1
ENSCAFG00000049945,NA,-0.496970152,0.015843549,1
ENSCAFG00000046830,NA,0.496692385,0.015911466,1
ENSCAFG00000000752,CERK,-0.500988142,0.016010068,1
ENSCAFG00000005945,RRM1,0.500988142,0.016010068,1
ENSCAFG00000022723,MT-CO1,-0.500988142,0.016010068,1
ENSCAFG00000031608,NUDT2,-0.496170018,0.016039834,1
ENSCAFG00000032239,THEGL,-0.495672262,0.016162936,1
ENSCAFG00000042526,NA,0.495668475,0.016163876,1
ENSCAFG00000042036,NA,-0.495668475,0.016163876,1
ENSCAFG00000005281,SS18L2,-0.5,0.01624523,1
ENSCAFG00000002068,ADGRF1,0.495060303,0.016315335,1
ENSCAFG00000020830,NA,-0.494544329,0.016444736,1
ENSCAFG00000048673,NA,-0.494495466,0.016457034,1
ENSCAFG00000013729,OVGP1,-0.494315434,0.016502408,1
ENSCAFG00000011378,ANKRD34A,-0.494060375,0.016566865,1
ENSCAFG00000020345,PTGFR,-0.493937885,0.016597892,1
ENSCAFG00000030909,C23H3orf33,-0.493326803,0.01675339,1
ENSCAFG00000049251,NA,-0.492912306,0.016859536,1
ENSCAFG00000025841,NA,-0.492324442,0.017011015,1
ENSCAFG00000000577,TIAM2,-0.492216472,0.017038956,1
ENSCAFG00000016352,NA,-0.491920031,0.017115863,1
ENSCAFG00000025805,NA,-0.491554212,0.017211156,1
ENSCAFG00000013425,EIF2S3,0.496047431,0.017214494,1
ENSCAFG00000014323,EPHB2,0.496047431,0.017214494,1
ENSCAFG00000016795,PIGG,-0.496047431,0.017214494,1
ENSCAFG00000010832,TC2N,0.491149903,0.017316977,1
ENSCAFG00000030924,NA,-0.490307345,0.017539199,1
ENSCAFG00000020372,NA,-0.490179526,0.017573112,1
ENSCAFG00000025859,NA,-0.489987774,0.017624088,1
ENSCAFG00000007332,NA,-0.489726395,0.017693766,1
ENSCAFG00000011711,GMEB1,0.494071146,0.017716657,1
ENSCAFG00000015291,ASMTL,0.494071146,0.017716657,1
ENSCAFG00000002036,TDRD6,-0.4895556,0.017739418,1
ENSCAFG00000023777,CLDN15,-0.489241037,0.017823746,1
ENSCAFG00000043314,NA,-0.488877964,0.017921483,1
ENSCAFG00000003236,INPP5B,-0.493083004,0.017972213,1
ENSCAFG00000046312,DIP2A,-0.493083004,0.017972213,1
ENSCAFG00000015819,SYNE2,0.493083004,0.017972213,1
ENSCAFG00000011012,PLA1A,-0.487977588,0.018165734,1
ENSCAFG00000032054,NA,-0.487949324,0.018173445,1
ENSCAFG00000000109,SMARCC2,-0.492094862,0.018230788,1
ENSCAFG00000005610,KIF5C,-0.491106719,0.018492407,1
ENSCAFG00000012113,VPS33B,-0.491106719,0.018492407,1
ENSCAFG00000022740,MT-ND6,-0.491106719,0.018492407,1
ENSCAFG00000004084,ERMARD,-0.486286153,0.018631874,1
ENSCAFG00000001049,PMM1,-0.490118577,0.018757098,1
ENSCAFG00000021248,NA,-0.485580845,0.018829089,1
ENSCAFG00000029471,CLIC2,-0.485462325,0.018862394,1
ENSCAFG00000003526,BRINP1,0.485039989,0.018981462,1
ENSCAFG00000026801,NA,-0.484983046,0.018997562,1
ENSCAFG00000004023,ZEB1,-0.489130435,0.019024888,1
ENSCAFG00000007863,ATR,-0.489130435,0.019024888,1
ENSCAFG00000030530,GOLPH3L,-0.489130435,0.019024888,1
ENSCAFG00000043534,NA,0.484186698,0.019223884,1
ENSCAFG00000002166,NA,-0.488142292,0.019295802,1
ENSCAFG00000019490,HAGH,0.488142292,0.019295802,1
ENSCAFG00000003115,GJA10,-0.483702515,0.019362551,1
ENSCAFG00000020015,C5H16orf46,-0.483259073,0.01949026,1
ENSCAFG00000042798,NA,0.483109984,0.019533349,1
ENSCAFG00000016856,STK10,0.48715415,0.01956987,1
ENSCAFG00000002852,ETFB,-0.48715415,0.01956987,1
ENSCAFG00000005032,PIBF1,-0.48715415,0.01956987,1
ENSCAFG00000044352,NA,0.482948845,0.019580007,1
ENSCAFG00000025786,NA,-0.482844661,0.019610222,1
ENSCAFG00000030111,NCALD,-0.482571208,0.019689707,1
ENSCAFG00000044486,NA,-0.48249235,0.019712677,1
ENSCAFG00000006097,ASTE1,-0.482332607,0.019759273,1
ENSCAFG00000016350,NA,0.486166008,0.019847117,1
ENSCAFG00000030050,CCSAP,0.486166008,0.019847117,1
ENSCAFG00000035067,NA,-0.481957548,0.019869027,1
ENSCAFG00000040246,NA,0.481633353,0.019964293,1
ENSCAFG00000049947,NA,0.481463232,0.020014431,1
ENSCAFG00000014103,SESTD1,0.485177866,0.020127572,1
ENSCAFG00000016231,FUT8,0.485177866,0.020127572,1
ENSCAFG00000019882,TSC1,-0.485177866,0.020127572,1
ENSCAFG00000028693,NA,-0.48098576,0.020155696,1
ENSCAFG00000029120,HTR2C,-0.480758055,0.020223348,1
ENSCAFG00000008324,CP,-0.480676059,0.020247754,1
ENSCAFG00000044363,NA,0.480640567,0.020258325,1
ENSCAFG00000023897,ZSCAN30,-0.480217841,0.02038458,1
ENSCAFG00000005624,DIP2C,-0.484189723,0.020411261,1
ENSCAFG00000018740,NA,-0.484189723,0.020411261,1
ENSCAFG00000020632,NA,-0.479409249,0.020627851,1
ENSCAFG00000004824,MEGF8,-0.479367447,0.02064049,1
ENSCAFG00000001573,TMEM249,-0.479189432,0.020694388,1
ENSCAFG00000012905,STRADA,-0.483201581,0.020698212,1
ENSCAFG00000014041,PRPF39,-0.483201581,0.020698212,1
ENSCAFG00000014052,NODAL,0.479064471,0.020732289,1
ENSCAFG00000016731,MSX2,0.478991655,0.020754401,1
ENSCAFG00000009233,GNAO1,-0.478971334,0.020760575,1
ENSCAFG00000029782,LRRC14B,0.478722771,0.020836217,1
ENSCAFG00000048487,NA,-0.478436198,0.0209237,1
ENSCAFG00000048861,NA,-0.478317228,0.020960106,1
ENSCAFG00000007113,PCM1,-0.482213439,0.020988453,1
ENSCAFG00000002483,TBC1D2,0.482213439,0.020988453,1
ENSCAFG00000004104,CEP57,0.482213439,0.020988453,1
ENSCAFG00000001773,NA,-0.478218759,0.020990277,1
ENSCAFG00000045233,NA,-0.478212791,0.020992107,1
ENSCAFG00000010095,ATP6V1B2,0.481225296,0.021282012,1
ENSCAFG00000014887,RNF25,0.481225296,0.021282012,1
ENSCAFG00000028027,NA,-0.477024557,0.021358976,1
ENSCAFG00000004892,DEDD2,0.477014393,0.021362136,1
ENSCAFG00000013698,ST6GAL1,0.476755921,0.02144263,1
ENSCAFG00000041291,NA,-0.476743632,0.021446463,1
ENSCAFG00000016985,PROX2,-0.47665854,0.021473019,1
ENSCAFG00000014823,PRKCI,0.480237154,0.021578917,1
ENSCAFG00000020121,ABCA4,0.476053941,0.021662475,1
ENSCAFG00000016022,KLB,-0.475743507,0.021760273,1
ENSCAFG00000026287,NA,-0.475531447,0.021827285,1
ENSCAFG00000005332,NKTR,-0.475413901,0.021864501,1
ENSCAFG00000031845,CGRRF1,0.479249012,0.021879196,1
