cytokine,treatment,donor_1_modz,donor_2_modz,donor_3_modz,histology
tnf.a,Yamane,-0.571332806,2.56637289,-0.6745,OSA
tgf.b,D17,-0.779885446,0.163349846,0.151151111,OSA
tgf.b,1771,-0.8653487,0.01147489,-0.39293658,Lym
tgf.b,17CM98 ,-0.840454573,-0.190213798,-0.460791022,Mel
tgf.b,Abrams,-0.912140692,-0.113030399,-0.658253985,OSA
tgf.b,Bliley,-0.6745,0.034515764,-0.549787311,UC
tgf.b,CLL1390,-0.854565321,0.05767682,0.151151111,Lym
tgf.b,CML-10C2,-0.8653487,-0.1792891,-0.184559521,Mel
tgf.b,CML-6M,-0.798289842,0.369082871,0.982377027,Mel
tgf.b,CMT12,-0.676318896,0.481047235,2.314365635,MC
tgf.b,CMT27,-0.821239781,0,1.347858403,MC
tgf.b,CTAC,-0.829299383,0.022980209,0.802218242,TC
tgf.b,DEN,-0.832502104,0.163349846,0.298551512,HSA
tgf.b,DH82,-0.773116103,0.05767682,0.200071526,HS
tgf.b,Gracie,-0.846759111,0.344481004,1.086123786,OSA
tgf.b,HMPOS,-0.811471582,0.080956569,0.956529193,OSA
tgf.b,Jones,-0.71405128,0.468506909,1.98834935,Mel
tgf.b,MacKinley,-0.722899995,0.710865844,3.593835646,OSA
tgf.b,Nike,-0.779885446,0.443500412,-0.721545128,HS
tgf.b,Moresco,-0.816368632,0.139665813,0.700114184,OSA
tgf.b,OS2.4,-0.869915912,0.455991262,0.523016659,OSA
tgf.b,OSA8,-0.750846182,0.271302022,0.623961162,OSA
tgf.b,Parks,-0.843613339,0.139665813,1.295251155,Mel
tgf.b,STSA-1,-0.830902274,-0.276345663,0.273853757,STS
tgf.b,Vogel,-0.822857652,-0.190213798,1.47992045,OSA
tgf.b,Yamane,-0.332508174,-0.451331501,1.00826077,OSA
