ENSCAF (results),ensembl_gene_id,Hugo_Symbol,ENSCAF (add = in front),Hugo_Symbol (add = in front)
,ENSCAFG00000000400,NA,,
,ENSCAFG00000000402,PPP1R14C,,
,ENSCAFG00000000404,IYD,,
,ENSCAFG00000000405,PLEKHG1,,
,ENSCAFG00000000406,PPP1R10,,
,ENSCAFG00000000407,DYRK2,,
,ENSCAFG00000000408,IFNG,,
,ENSCAFG00000000409,IL26,,
,ENSCAFG00000000410,IL22,,
,ENSCAFG00000000411,MRPS18B,,
,ENSCAFG00000000412,MDM1,,
,ENSCAFG00000000413,MTHFD1L,,
,ENSCAFG00000000414,ATAT1,,
,ENSCAFG00000000415,RAP1B,,
,ENSCAFG00000000416,C12H6orf136,,
,ENSCAFG00000000417,NUP107,,
,ENSCAFG00000000418,MDM2,,
,ENSCAFG00000000419,AKAP12,,
,ENSCAFG00000000422,ZBTB2,,
,ENSCAFG00000000423,RMND1,,
,ENSCAFG00000000424,CPSF6,,
,ENSCAFG00000000425,ARMT1,,
,ENSCAFG00000000426,LYZ,,
,ENSCAFG00000000427,DHX16,,
,ENSCAFG00000000428,YEATS4,,
,ENSCAFG00000000429,CCDC170,,
,ENSCAFG00000000430,ESR1,,
,ENSCAFG00000000431,FRS2,,
,ENSCAFG00000000432,CCT2,,
,ENSCAFG00000000433,GFPT2,,
,ENSCAFG00000000434,LRRC10,,
,ENSCAFG00000000435,BEST3,,
,ENSCAFG00000000436,RAB3IP,,
,ENSCAFG00000000437,PPP1R18,,
,ENSCAFG00000000439,MYRFL,,
,ENSCAFG00000000441,CNOT2,,
,ENSCAFG00000000442,MDC1,,
,ENSCAFG00000000443,NA,,
,ENSCAFG00000000444,FLOT1,,
,ENSCAFG00000000445,SYNE1,,
,ENSCAFG00000000446,PTPRB,,
,ENSCAFG00000000447,IER3,,
,ENSCAFG00000000448,DDR1,,
,ENSCAFG00000000450,TSPAN8,,
,ENSCAFG00000000451,LGR5,,
,ENSCAFG00000000453,ZFC3H1,,
,ENSCAFG00000000454,VARS2,,
,ENSCAFG00000000458,RAB21,,
,ENSCAFG00000000459,TBC1D15,,
,ENSCAFG00000000460,LAPTM4B,,
,ENSCAFG00000000462,TPH2,,
,ENSCAFG00000000464,CNOT6,,
,ENSCAFG00000000469,POP1,,
,ENSCAFG00000000470,NA,,
,ENSCAFG00000000471,NA,,
,ENSCAFG00000000472,C12H6orf15,,
,ENSCAFG00000000473,TRHDE,,
,ENSCAFG00000000474,CDSN,,
,ENSCAFG00000000478,CCHCR1,,
,ENSCAFG00000000479,KCNC2,,
,ENSCAFG00000000480,NIPAL2,,
,ENSCAFG00000000481,CAPS2,,
,ENSCAFG00000000482,FLT4,,
,ENSCAFG00000000483,TCF19,,
,ENSCAFG00000000484,STK3,,
,ENSCAFG00000000485,NA,,
,ENSCAFG00000000487,DLA88,,
,ENSCAFG00000000488,KCNS2,,
,ENSCAFG00000000491,NA,,
,ENSCAFG00000000493,OSR2,,
,ENSCAFG00000000494,OR2AI2,,
