gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000005607,SPTLC3,239.2115322,-0.001515438,0.144013875,0.919537174,0.997366198
ENSCAFG00000005837,NA,98.08155093,0.003201567,0.098900133,0.921058008,0.997366198
ENSCAFG00000006116,ARHGEF7,1841.352474,0.003146167,0.099639528,0.921365997,0.997366198
ENSCAFG00000006502,TPP1,1547.354821,0.001935972,0.114950626,0.920748035,0.997366198
ENSCAFG00000006859,TMEM132B,1684.420308,-0.003209256,0.100040735,0.919180214,0.997366198
ENSCAFG00000007156,DENND5A,2435.4501,-0.00290419,0.103023459,0.921682998,0.997366198
ENSCAFG00000007308,DEPDC7,228.6394765,0.001736103,0.118966539,0.921155745,0.997366198
ENSCAFG00000007565,OR10V4,5.073281946,0.001591946,0.123286389,0.922400392,0.997366198
ENSCAFG00000007746,PRIMPOL,253.0904305,-0.002679167,0.106155858,0.920656076,0.997366198
ENSCAFG00000008833,ACP2,1071.728391,-0.002947383,0.101827267,0.922833648,0.997366198
ENSCAFG00000009464,MARCHF7,1699.455793,0.002820351,0.103264681,0.923443983,0.997366198
ENSCAFG00000009853,RANBP9,2210.817549,-0.002577731,0.10739687,0.920270552,0.997366198
ENSCAFG00000010307,EIF4E,2233.510634,0.003031564,0.101168784,0.921816836,0.997366198
ENSCAFG00000010598,TRIP12,8908.008941,0.003430147,0.095772378,0.91931269,0.997366198
ENSCAFG00000010700,CCND1,3823.404178,0.001580961,0.129666927,0.918528374,0.997366198
ENSCAFG00000010737,KPNA6,1190.210818,-0.003361618,0.096311853,0.920361208,0.997366198
ENSCAFG00000011161,NA,13.95902247,-0.00273001,0.106093577,0.919330538,0.997366198
ENSCAFG00000011176,NR5A2,16.40598586,0.001535932,0.142880867,0.91843571,0.997366198
ENSCAFG00000011693,KLHDC8B,14.93661187,0.001529138,0.153500591,0.919719254,0.997366198
ENSCAFG00000011703,ZGRF1,332.2585988,-0.003182246,0.100817145,0.91857855,0.997366198
ENSCAFG00000012306,SPTBN2,55.46432971,0.001494117,0.137818485,0.920882204,0.997366198
ENSCAFG00000012332,H2AX,1456.878719,-0.002721104,0.106194873,0.919319239,0.997366198
ENSCAFG00000012418,SSB,3969.816452,-0.002974079,0.101291402,0.923081651,0.997366198
ENSCAFG00000012710,SLCO4A1,1356.17285,-0.001513833,0.155887138,0.920889575,0.997366198
ENSCAFG00000012736,NIT1,909.856557,0.002541742,0.107550857,0.920935416,0.997366198
ENSCAFG00000012842,OSBP2,12.48599081,0.001932264,0.115392449,0.919829983,0.997366198
ENSCAFG00000013864,NA,2919.433849,-0.003263366,0.099739681,0.918304041,0.997366198
ENSCAFG00000013995,CABIN1,2862.77073,0.003190004,0.099871311,0.919925484,0.997366198
ENSCAFG00000015331,DYRK4,11.36763817,-0.001498564,0.147189883,0.920597711,0.997366198
ENSCAFG00000015693,NSG1,428.7438651,0.001552352,0.137619826,0.917844869,0.997366198
ENSCAFG00000015843,PLD2,2360.724887,0.001846932,0.115325456,0.923491295,0.997366198
ENSCAFG00000016123,SDE2,1470.326466,0.003191379,0.097660391,0.922892935,0.997366198
ENSCAFG00000016501,PALM3,696.6439741,-0.001691067,0.120003798,0.921623283,0.997366198
ENSCAFG00000017397,ZNF711,68.3311786,-0.001525812,0.134982978,0.919661419,0.997366198
ENSCAFG00000017739,NA,49.09684524,0.002851963,0.104291089,0.920354545,0.997366198
ENSCAFG00000018036,HSP90AA1,30938.95676,0.002614819,0.106191549,0.92245425,0.997366198
ENSCAFG00000018117,CHRDL1,395.1262949,0.001554486,0.173884485,0.922519732,0.997366198
ENSCAFG00000018282,ROCK1,3088.396759,-0.00287422,0.102915598,0.922701228,0.997366198
