gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,source_file
ENSCAFG00000006668,KBTBD8,99.58121902,-0.775378636,1.061526993,0.000751539,0.113718109,ccl2
ENSCAFG00000031965,FGF1,25.47176508,1.50975423,1.983642147,0.000774708,0.115550802,ccl2
ENSCAFG00000032010,HAVCR2,36.95146249,-0.511545595,0.746392359,0.000786111,0.115550802,ccl2
ENSCAFG00000048775,,10.98987546,-0.780488556,1.081326365,0.000786008,0.115550802,ccl2
ENSCAFG00000010450,SLC37A1,243.3617322,-1.636438669,2.300364971,0.000795472,0.115823764,ccl2
ENSCAFG00000013860,PLOD3,8949.093914,0.255399896,0.29183067,0.000847154,0.122196086,ccl2
ENSCAFG00000010024,DOK2,383.0850229,-1.059548121,1.447158939,0.000858051,0.122621814,ccl2
ENSCAFG00000000784,TTC38,959.6898255,-0.933995809,1.32587489,0.000925503,0.125300119,ccl2
ENSCAFG00000002982,MYBPC2,163.7801239,-1.349677106,1.883517514,0.000913305,0.125300119,ccl2
ENSCAFG00000011948,DTX3L,394.2110918,-0.520439396,0.789154026,0.000904252,0.125300119,ccl2
ENSCAFG00000014612,,14.68819448,0.815522393,1.175050612,0.000917462,0.125300119,ccl2
ENSCAFG00000024647,SERPINB5,146.1729604,1.025205648,1.420112029,0.000886183,0.125300119,ccl2
ENSCAFG00000031252,ZNF252,347.2149852,-0.336419349,0.501932299,0.000918153,0.125300119,ccl2
ENSCAFG00000006888,IL31RA,15.63072485,-1.186490283,1.674176835,0.000956373,0.128353565,ccl2
ENSCAFG00000001296,GRAP2,103.5408474,0.65882364,0.996712858,0.000982032,0.128724094,ccl2
ENSCAFG00000001858,DLK2,69.61247512,1.051295773,1.510411856,0.000992495,0.128724094,ccl2
ENSCAFG00000011677,EPB41,1647.210821,-0.85022778,1.246574405,0.000988863,0.128724094,ccl2
ENSCAFG00000015540,STX5,1036.613757,0.241199245,0.133883086,0.000986912,0.128724094,ccl2
ENSCAFG00000002120,CD274,176.2468199,-0.927280803,1.356266688,0.00101292,0.130278331,ccl2
ENSCAFG00000024958,CCR10,13.72947127,-1.054278783,1.531681381,0.001024526,0.130682101,ccl2
ENSCAFG00000016392,TTYH3,4261.293332,0.282411346,0.413004582,0.001053619,0.133291412,ccl2
ENSCAFG00000009651,PPP1R15B,1831.663744,-0.2459829,0.312094353,0.001068918,0.134127494,ccl2
ENSCAFG00000015190,PLAU,6317.848638,0.62750938,0.982365398,0.001082125,0.134689657,ccl2
ENSCAFG00000006219,SIGLEC1,306.2736074,-1.083681823,1.620518904,0.001109154,0.135847875,ccl2
