gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000001007,FBXO32,130.1125213,-0.103317132,0.443373106,0.005659187,0.439500356
ENSCAFG00000001986,TMEM151B,414.419881,-0.224693044,0.879565204,0.005636238,0.439500356
ENSCAFG00000002756,STAP1,101.4069907,-0.187672711,0.751688734,0.005815584,0.439500356
ENSCAFG00000003227,EEPD1,180.4118879,0.147984694,0.605638269,0.005677417,0.439500356
ENSCAFG00000005537,NA,6196.707278,0.048753246,0.201745292,0.005776374,0.439500356
ENSCAFG00000007783,XRN1,822.9451764,-0.05695493,0.131798925,0.005813889,0.439500356
ENSCAFG00000031848,NA,204.256657,0.098212287,0.426548203,0.005775576,0.439500356
ENSCAFG00000031870,RNF125,220.4113236,-0.091971215,0.401971085,0.005756528,0.439500356
ENSCAFG00000003369,PTN,293.8349149,-0.266941883,1.119066051,0.005850708,0.439944007
ENSCAFG00000001474,NA,237.0050323,0.054227509,0.238276183,0.005908497,0.44207902
ENSCAFG00000025044,NA,1413.153414,-0.051578421,0.135965947,0.005965993,0.444171158
ENSCAFG00000013183,SP9,24.57737142,-0.066461321,0.301136956,0.00605848,0.446634705
ENSCAFG00000032405,NPAS1,964.6764022,0.093923231,0.4156686,0.00605197,0.446634705
ENSCAFG00000013979,BCL2A1,1388.806522,0.167801392,0.690920444,0.006111246,0.448326966
ENSCAFG00000010997,CD80,51.84713962,0.100224326,0.442741511,0.00617472,0.450784513
ENSCAFG00000013864,NA,3380.131035,0.049122001,0.134546677,0.006291416,0.451060273
ENSCAFG00000028456,CD83,97.50661773,0.236876931,0.970748974,0.006210768,0.451060273
ENSCAFG00000043343,NA,4.065207613,-0.125936308,0.541959074,0.006260391,0.451060273
ENSCAFG00000044597,NA,54.57849274,-0.048516611,0.212750986,0.006298468,0.451060273
ENSCAFG00000005505,PGM2L1,66.79669026,-0.047150684,0.209544321,0.006569431,0.451632165
ENSCAFG00000007257,DRAM1,134.6472675,0.049538385,0.222509718,0.006473627,0.451632165
ENSCAFG00000013739,TET1,216.2385257,-0.118688408,0.518842779,0.006429712,0.451632165
ENSCAFG00000014403,SORCS2,282.2211568,0.223497159,0.928142566,0.006482171,0.451632165
ENSCAFG00000015689,OTUD5,2627.201374,-0.042816945,0.143511972,0.006552656,0.451632165
ENSCAFG00000017986,DYNC1H1,22555.55244,-0.047534167,0.135322026,0.006377001,0.451632165
ENSCAFG00000019537,C8G,3.744473025,-0.133164276,0.573211476,0.006431569,0.451632165
ENSCAFG00000019685,CARD9,57.37464122,0.093143129,0.422764975,0.00657673,0.451632165
ENSCAFG00000029145,PROKR1,15.90914463,-0.205730868,0.852118459,0.006497862,0.451632165
ENSCAFG00000003625,FCGRT,709.9556198,0.117529694,0.520929551,0.006716281,0.452942354
ENSCAFG00000009496,NAB1,1060.23746,0.046719481,0.208723587,0.006669376,0.452942354
ENSCAFG00000030423,AIFM3,30.48887311,0.063442462,0.297870682,0.006700735,0.452942354
ENSCAFG00000045372,NA,5.065331385,0.07695906,0.357886814,0.006688024,0.452942354
ENSCAFG00000017383,APOOL,343.1321769,-0.045312719,0.133517016,0.006762368,0.453701397
ENSCAFG00000031198,SH2B2,352.698589,0.124839719,0.550564513,0.006787872,0.453701397
ENSCAFG00000005178,HNMT,89.04001863,0.225753777,0.968502205,0.006852717,0.455113711
ENSCAFG00000013452,HOXD4,19.2347167,-0.101569534,0.461896508,0.006869527,0.455113711
ENSCAFG00000019036,LIPG,1548.557789,0.161221597,0.696667104,0.007027583,0.463543043
ENSCAFG00000001448,PIM1,669.6271475,-0.045751191,0.211210319,0.007145507,0.464906201
ENSCAFG00000004009,GRWD1,1092.667873,0.040817632,0.138722981,0.007123624,0.464906201
ENSCAFG00000017708,NA,2831.803417,0.058775508,0.282158779,0.007144387,0.464906201
ENSCAFG00000030640,PID1,745.0715055,0.222381616,0.979382056,0.007171902,0.464906201
ENSCAFG00000031326,CEBPB,1629.055771,0.061243814,0.295854028,0.007266508,0.469017224
ENSCAFG00000016798,CREBRF,96.12994774,-0.068238818,0.328941105,0.007301934,0.469289652
ENSCAFG00000002953,HOXA6,103.1797287,-0.151620452,0.674204387,0.007541694,0.478563464
ENSCAFG00000041135,NA,17.0292479,-0.040408803,0.179396713,0.007521366,0.478563464
ENSCAFG00000047853,NA,75.65932245,-0.044157255,0.127105891,0.007505353,0.478563464
ENSCAFG00000002349,UBE2M,4494.125089,0.048169017,0.12087655,0.007629669,0.482111725
ENSCAFG00000009869,EHD4,2500.565608,0.051313361,0.252634533,0.007781267,0.489633754
ENSCAFG00000009771,TTC3,4930.22246,-0.037880319,0.13716213,0.007861226,0.492604053
ENSCAFG00000000884,WDR27,46.83563006,0.137921586,0.632873233,0.008079119,0.493715076
ENSCAFG00000002392,ZSCAN18,424.9843066,-0.169371748,0.767371708,0.008141588,0.493715076
ENSCAFG00000003939,HBP1,286.5368106,-0.040155591,0.187409558,0.008034067,0.493715076
ENSCAFG00000006096,NDUFAF7,478.5826564,0.04079393,0.125723248,0.008085323,0.493715076
ENSCAFG00000006474,PGGHG,401.9340233,-0.041247919,0.196751902,0.008114971,0.493715076
ENSCAFG00000009313,PHF21A,814.0613195,-0.036646698,0.143741376,0.008088688,0.493715076
ENSCAFG00000012992,SDHC,1986.732644,0.039097041,0.130035723,0.007973739,0.493715076
ENSCAFG00000017415,ZC3H14,3940.055816,-0.047105468,0.106098645,0.007915112,0.493715076
ENSCAFG00000013416,MTX2,2491.664992,-0.038112794,0.127315689,0.008388665,0.504257119
ENSCAFG00000014554,ACOX3,478.4608227,0.035857608,0.139026605,0.008412201,0.504257119
ENSCAFG00000045623,SMIM2,4.194251501,-0.119253096,0.563401357,0.008416021,0.504257119
ENSCAFG00000032751,CLEC2B,58.89473566,-0.14601156,0.677019019,0.008490093,0.506676628
ENSCAFG00000030465,FTH1,29350.93902,0.058855352,0.300983044,0.008575761,0.509766311
ENSCAFG00000010220,NA,18.02381769,-0.155442855,0.72141479,0.008618981,0.510318303
ENSCAFG00000009117,CRYBG3,1136.66558,-0.035010826,0.14764173,0.008714733,0.510890123
ENSCAFG00000018932,FHL1,1637.775419,-0.163216505,0.759907007,0.008730551,0.510890123
ENSCAFG00000020403,NAE1,1441.358965,-0.03656485,0.128075331,0.008675037,0.510890123
ENSCAFG00000010459,SLC6A18,22.41983978,0.053568524,0.277113686,0.008832669,0.514862417
ENSCAFG00000009069,TMEM106C,2379.307532,0.034562462,0.138966248,0.008879201,0.515576483
ENSCAFG00000013745,BLOC1S6,252.479387,0.040756834,0.20519584,0.008978197,0.517329913
ENSCAFG00000025105,NA,1254.192423,-0.078173773,0.396159503,0.00896113,0.517329913
ENSCAFG00000004147,PIWIL4,237.5957264,0.106931629,0.524998616,0.009162909,0.525957964
ENSCAFG00000007035,MFSD5,1121.638104,0.03475615,0.12588473,0.009317477,0.526273918
ENSCAFG00000010677,EYA2,403.0855743,0.173025057,0.830140036,0.009283328,0.526273918
ENSCAFG00000013464,HOXD3,81.721738,-0.090420071,0.453956483,0.009208777,0.526273918
ENSCAFG00000018726,BCORL1,500.2187273,-0.06628957,0.344774656,0.009257594,0.526273918
ENSCAFG00000020088,LCN2,7.911544911,0.140558837,0.675617663,0.009371795,0.526273918
ENSCAFG00000046744,NA,21.64027392,-0.044269338,0.23196303,0.009413371,0.526273918
ENSCAFG00000047157,NA,32.10891932,0.112384434,0.552691038,0.009402293,0.526273918
ENSCAFG00000037122,NA,47.52744597,-0.170564731,0.828912811,0.009558808,0.530460955
ENSCAFG00000049626,NA,34.73304218,-0.071995904,0.374878111,0.009537282,0.530460955
ENSCAFG00000008391,HEY1,97.41012153,-0.0846386,0.434463055,0.009670218,0.530853447
ENSCAFG00000016084,NA,13.23560595,0.058540836,0.311369638,0.009671776,0.530853447
ENSCAFG00000017397,ZNF711,78.23794661,-0.138974536,0.675279779,0.009652426,0.530853447
ENSCAFG00000029815,COMMD6,190.6853412,-0.03411216,0.121450638,0.00987899,0.536354288
ENSCAFG00000031891,NA,4.0742636,0.066186113,0.350460657,0.009817972,0.536354288
ENSCAFG00000045923,NA,90.32395014,0.038009169,0.115599786,0.009851538,0.536354288
ENSCAFG00000004143,GATA2,667.5576517,-0.098174879,0.499846099,0.010008841,0.541449518
ENSCAFG00000005627,JAG1,1952.78751,-0.108268324,0.546735566,0.010123028,0.542086722
ENSCAFG00000010895,NA,80.73476434,0.118271316,0.591715648,0.010128756,0.542086722
ENSCAFG00000017455,GAS7,166.8535496,0.164071866,0.814457561,0.010082173,0.542086722
ENSCAFG00000011952,NA,72.39874517,0.033341871,0.119525699,0.010296628,0.543237779
ENSCAFG00000012942,SRMS,40.89425408,-0.129250991,0.642961666,0.010195123,0.543237779
