"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"TNFA","C7","GSE17721_0.5H_VS_12H_LPS_BMDC_UP","GSE17721_0.5H_VS_12H_LPS_BMDC_UP",149,-0.625304976,-1.441354032,0.123425693,0.736773992,0.703676381,769,"tags=8%, list=7%, signal=8%","HNRNPL/ZNF280D/EEF1AKMT1/ZFYVE21/TK1/HPRT1/RPL28/S100A1/SLC25A13/NUDT4/ENC1/LSP1"
"TNFA","C7","GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_UP","GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_UP",147,-0.626592782,-1.439860106,0.123115578,0.736773992,0.703676381,59,"tags=3%, list=0%, signal=3%","PCM1/GOSR1/MAP2K6/MFNG"
"TNFA","C7","GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN","GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN",148,-0.624445899,-1.434244595,0.123737374,0.736773992,0.703676381,482,"tags=5%, list=4%, signal=5%","CHDH/CDC14A/VPS35/SELP/RCBTB2/CXCR4/SNX30/IL17RB"
"TNFA","C7","GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_CORD_BLOOD_DN","GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_CORD_BLOOD_DN",165,-0.620124494,-1.427921319,0.125333333,0.736773992,0.703676381,126,"tags=3%, list=1%, signal=3%","APAF1/SNX30/NOD1/SLC66A3/LSP1"
"TNFA","C7","GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN","GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN",160,-0.621246549,-1.426950187,0.123036649,0.736773992,0.703676381,1514,"tags=24%, list=13%, signal=22%","LTBP3/SYNJ2BP/C2CD3/SIRT3/RPS15A/TRIOBP/RC3H2/PSME3IP1/SMURF2/FAM149B1/RASGRP1/TSC22D3/RSBN1/ULK1/SETD2/PPP1R12A/SNRK/KDM5A/VEZF1/ARMC8/RXRB/CEP350/FAM117A/BBX/RIPOR2/STAG2/RBM26/TNK2/TRAF5/LPIN1/ATF2/TOP2B/AGBL2/ASTE1/ZBED5/CCDC91/SKAP1/JADE2/CLEC2B"
"TNFA","C7","GSE22501_PERIPHERAL_BLOOD_VS_CORD_BLOOD_TREG_UP","GSE22501_PERIPHERAL_BLOOD_VS_CORD_BLOOD_TREG_UP",117,0.714903576,1.424219853,0.125208681,0.736773992,0.703676381,294,"tags=7%, list=2%, signal=7%","TNFSF9/COL8A1/ANK1/DKK3/NR4A1/MID1/BRSK2/NID2"
"TNFA","C7","GSE9650_EXHAUSTED_VS_MEMORY_CD8_TCELL_DN","GSE9650_EXHAUSTED_VS_MEMORY_CD8_TCELL_DN",167,-0.613609814,-1.418904081,0.123655914,0.736773992,0.703676381,757,"tags=8%, list=6%, signal=7%","AP3M1/CCNDBP1/XRCC5/API5/PITPNC1/ANAPC5/IL18R1/AXIN1/FAM117A/UBALD2/NSMCE1/ASS1/SELL"
"TNFA","C7","GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_UP","GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_UP",134,0.707153102,1.400200417,0.124789207,0.736773992,0.703676381,288,"tags=6%, list=2%, signal=6%","COL14A1/ABCA1/GPX2/NOTCH3/CACNA1C/ACKR3/DKK3/RAB33B"
"TNFA","C7","GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP",142,0.697364103,1.385147091,0.125423729,0.736773992,0.703676381,64,"tags=1%, list=1%, signal=1%","KLHL13/COLEC12"
"TNFA","C7","GSE17721_0.5H_VS_24H_CPG_BMDC_UP","GSE17721_0.5H_VS_24H_CPG_BMDC_UP",150,0.687998039,1.385072331,0.123558484,0.736773992,0.703676381,553,"tags=9%, list=5%, signal=8%","PYCARD/DEPTOR/SPP1/SLC25A15/GFRA3/TMEM37/RNF166/HMBS/CHCHD10/GUK1/CENPT/COMT/SLC35C2"
"TNFA","C7","GSE22886_TH1_VS_TH2_12H_ACT_UP","GSE22886_TH1_VS_TH2_12H_ACT_UP",152,0.6857689,1.383218027,0.125205931,0.736773992,0.703676381,288,"tags=4%, list=2%, signal=4%","AP1M2/KRT75/CXCL8/NPTX1/NR4A3/RAB33B"
"TNFA","C7","GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN","GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN",158,0.682775526,1.37875675,0.124394184,0.736773992,0.703676381,188,"tags=3%, list=2%, signal=3%","MMP9/CXCL8/MAN1C1/EBI3/DKK3"
"TNFA","C7","GSE30083_SP1_VS_SP2_THYMOCYTE_UP","GSE30083_SP1_VS_SP2_THYMOCYTE_UP",158,0.682546838,1.378294952,0.124394184,0.736773992,0.703676381,649,"tags=12%, list=5%, signal=12%","REEP2/IGSF6/DIPK1B/FOXJ1/FBLN2/CHRNA9/ALDH3B1/CXCL10/CYTH2/SLC3A2/BYSL/CCDC86/HK2/AS3MT/MAPK6/RBM22/PRXL2B/ICAM1/EEFSEC"
"TNFA","C7","GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_24H_DN","GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_24H_DN",153,0.68412679,1.378281982,0.125205931,0.736773992,0.703676381,320,"tags=4%, list=3%, signal=4%","PIANP/SEMA6B/SPP1/GATM/PLLP/MVD"
"TNFA","C7","GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP","GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP",163,0.677972853,1.374822024,0.125396825,0.736773992,0.703676381,157,"tags=2%, list=1%, signal=2%","PYCARD/CSF1R/GATM"
"TNFA","C7","GSE6674_CPG_VS_CPG_AND_ANTI_IGM_STIM_BCELL_UP","GSE6674_CPG_VS_CPG_AND_ANTI_IGM_STIM_BCELL_UP",155,0.678074087,1.372465229,0.124386252,0.736773992,0.703676381,376,"tags=5%, list=3%, signal=5%","PYCARD/TNFRSF13B/GRN/TRAPPC1/MARCKSL1/CDC123/PGD/BECN1"
"TNFA","C7","GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN","GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN",154,0.679813767,1.371872553,0.125412541,0.736773992,0.703676381,74,"tags=1%, list=1%, signal=1%","STAB1/GPX2"
