"cytokine","gene","Hugo_Symbol","baseMean","log2FoldChange","lfcSE","conf.low","conf.high","stat","pvalue","padj"
"TNF-alpha","ENSCAFG00000014002","MACROH2A2",88.505705,0.90148305,1.717836852,-2.46547717992,4.26844327992,0.524778036371989,0.001807741,0.169179221
"TNF-alpha","ENSCAFG00000032204","PRSS53",92.20686592,0.57027222,1.111322049,-1.60791899604,2.74846343604,0.513147579959515,0.001794685,0.169179221
"TNF-alpha","ENSCAFG00000008824","NR1H3",104.8810231,0.265808096,0.547863741,-0.80800483636,1.33962102836,0.485171907005249,0.001855913,0.172588161
"TNF-alpha","ENSCAFG00000007279","PDE7A",390.2474147,-0.482759011,0.984741713,-2.41285276848,1.44733474648,-0.490239221744027,0.001962115,0.181316657
"TNF-alpha","ENSCAFG00000016107","NOTCH3",246.8181138,0.796719523,1.573518375,-2.28737649199999,3.880815538,0.5063299772397,0.001999772,0.183641594
"TNF-alpha","ENSCAFG00000004175","C5AR1",1033.962245,0.925452179,1.949732055,-2.8960226488,4.7469270068,0.474656082422566,0.002069008,0.188819441
"TNF-alpha","ENSCAFG00000009703","FAM160B2",821.7276865,-0.152295928,0.186427871,-0.51769455516,0.21310269916,-0.816916092980539,0.002098146,0.189875124
"TNF-alpha","ENSCAFG00000012769","MAN1C1",54.83475572,0.630352857,1.279667511,-1.87779546455999,3.13850117856,0.49259112353912,0.002106421,0.189875124
"TNF-alpha","ENSCAFG00000005852","NA",1122.195373,0.884097689,1.844033831,-2.73020861976,4.49840399776,0.479436805408588,0.002134955,0.191273713
"TNF-alpha","ENSCAFG00000032405","NPAS1",924.5451282,0.343403493,0.74290013,-1.1126807618,1.7994877478,0.462247183884595,0.002161786,0.192503737
"TNF-alpha","ENSCAFG00000012547","PLEKHA1",435.4459373,0.159272262,0.264601593,-0.35934686028,0.67789138428,0.601932362516048,0.002196974,0.19445863
"TNF-alpha","ENSCAFG00000013159","FZD9",161.9731532,0.469029961,0.997027347,-1.48514363912,2.42320356112,0.470428381339072,0.002227915,0.196016518
"TNF-alpha","ENSCAFG00000010758","MAP2K6",76.20256595,-0.51404482,1.088189405,-2.6468960538,1.61880641379999,-0.472385429997822,0.002264777,0.197095816
"TNF-alpha","ENSCAFG00000020016","ATMIN",1807.34047,0.159085346,0.125537461,-0.08696807756,0.405138769559999,1.26723405693221,0.002273321,0.197095816
"TNF-alpha","ENSCAFG00000043599","NA",691.5981173,-0.163499145,0.116222395,-0.3912950392,0.0642967492,-1.40677831497105,0.002280425,0.197095816
"TNF-alpha","ENSCAFG00000002180","SEMA4D",3061.087686,-0.735268557,1.534183208,-3.74226764468,2.27173053067999,-0.479257335868324,0.002297471,0.197407851
"TNF-alpha","ENSCAFG00000005874","MAP4K1",1206.251614,-0.763265908,1.654025459,-4.00515580764,2.47862399164,-0.461459588694275,0.002465314,0.210082868
"TNF-alpha","ENSCAFG00000006825","PRR5L",137.6458023,0.586980676,1.271594508,-1.90534455968,3.07930591168,0.461609949010569,0.002512856,0.210082868
"TNF-alpha","ENSCAFG00000010461","TM4SF20",5.746704424,0.378981552,0.853784712,-1.29443648352,2.05239958752,0.443884209535951,0.002530774,0.210082868
"TNF-alpha","ENSCAFG00000016718","HRH2",112.4027663,0.813596043,1.952377918,-3.01306467628,4.64025676228,0.416720572128495,0.002513829,0.210082868
"TNF-alpha","ENSCAFG00000030076","LMX1B",87.02660239,0.723744372,1.57019221,-2.3538323596,3.8013211036,0.460927246607598,0.002514692,0.210082868
"TNF-alpha","ENSCAFG00000045022","NA",14.21855782,-0.175364071,0.358283078,-0.87759890388,0.526870761879999,-0.489456750173392,0.002524318,0.210082868
"TNF-alpha","ENSCAFG00000019069","SMAD7",345.7147475,-0.193838373,0.420557829,-1.01813171784,0.630454971839999,-0.460907774469227,0.002565747,0.210606255
"TNF-alpha","ENSCAFG00000019260","SMG6",927.8157709,-0.17563084,0.361228915,-0.883639513399999,0.5323778334,-0.486203713786312,0.002552229,0.210606255
"TNF-alpha","ENSCAFG00000009667","NUDT18",310.8130719,-0.143927382,0.195680006,-0.52746019376,0.23960542976,-0.735524210889486,0.002598389,0.210763641
"TNF-alpha","ENSCAFG00000014384","TMEM101",684.7242393,0.148309721,0.142913187,-0.131800125519999,0.42841956752,1.03776092404964,0.002625042,0.210763641
"TNF-alpha","ENSCAFG00000017048","FLVCR2",118.9437983,0.280151391,0.64578366,-0.9855845826,1.5458873646,0.433816165308363,0.002609817,0.210763641
"TNF-alpha","ENSCAFG00000017868","NA",164.5875019,0.146791062,0.234215594,-0.31227150224,0.605853626239999,0.626734793755876,0.002612616,0.210763641
"TNF-alpha","ENSCAFG00000008874","HUNK",60.33685387,0.751358756,1.704279242,-2.58902855831999,4.09174607031999,0.440865990433743,0.00267801,0.212691916
"TNF-alpha","ENSCAFG00000028875","CD248",127.8903145,0.721055625,1.61357242,-2.4415463182,3.8836575682,0.446869081339404,0.002677484,0.212691916
"TNF-alpha","ENSCAFG00000004971","ACTR3B",431.9663931,-0.146599644,0.245990151,-0.62874033996,0.335541051959999,-0.595957372293332,0.0027227,0.215078633
"TNF-alpha","ENSCAFG00000010949","SLC37A2",2424.011322,0.614114925,1.371348222,-2.07372759012,3.30195744012,0.447818369651118,0.002742476,0.215482354
"TNF-alpha","ENSCAFG00000017179","PHKA1",352.9878258,-0.140611362,0.206265063,-0.54489088548,0.26366816148,-0.681702271605734,0.00285068,0.222792798
"TNF-alpha","ENSCAFG00000013065","ZBTB46",153.5115421,-0.66125101,1.515848592,-3.63231425032,2.30981223032,-0.436224972262929,0.002891279,0.22477016
"TNF-alpha","ENSCAFG00000003429","CFTR",103.3941811,-0.720130344,1.727425667,-4.10588465132,2.66562396332,-0.416880655276265,0.002956166,0.228604962
"TNF-alpha","ENSCAFG00000005702","TOP2B",5117.844272,-0.157487118,0.32689015,-0.798191812,0.483217575999999,-0.48177382524374,0.003048373,0.232820686
"TNF-alpha","ENSCAFG00000014551","GAL3ST4",24.91980868,0.398559502,0.9477559,-1.459042062,2.256161066,0.420529697572972,0.003058218,0.232820686
"TNF-alpha","ENSCAFG00000047776","NA",14.11322254,-0.418621901,0.99100611,-2.3609938766,1.5237500746,-0.42242110999699,0.003052004,0.232820686
"TNF-alpha","ENSCAFG00000017484","CYFIP2",1988.364035,-0.310449269,0.755811235,-1.7918392896,1.1709407516,-0.410749740972029,0.003130552,0.237098968
"TNF-alpha","ENSCAFG00000015050","NDST2",509.19982,-0.13589849,0.191563992,-0.51136391432,0.239566934319999,-0.709415629634613,0.003172353,0.239032727
"TNF-alpha","ENSCAFG00000003981","SULT2B1",135.2732973,0.67842101,1.668099043,-2.59105311427999,3.94789513428,0.406703074884504,0.003194118,0.239444775
"TNF-alpha","ENSCAFG00000011850","KLHL24",125.5497418,-0.180726697,0.426789746,-1.01723459916,0.65578120516,-0.423456042920018,0.003331233,0.248455905
"TNF-alpha","ENSCAFG00000007501","DBR1",883.0534098,-0.151345517,0.117267183,-0.38118919568,0.0784981616799999,-1.29060418378089,0.003364547,0.248486894
"TNF-alpha","ENSCAFG00000010709","ADAMTS17",46.52963989,0.431075459,1.050857713,-1.62860565848,2.49075657648,0.410212965720507,0.003365473,0.248486894
"TNF-alpha","ENSCAFG00000005050","FOXJ1",11.55704986,0.46864604,1.141929618,-1.76953601128,2.70682809128,0.410398357843451,0.00341004,0.250518606
"TNF-alpha","ENSCAFG00000008999","PROS1",69.83382723,0.557024513,1.360155337,-2.10887994751999,3.22292897351999,0.409530071931776,0.003442725,0.251661482
"TNF-alpha","ENSCAFG00000002885","HNRNPA2B1",43149.75042,-0.159217794,0.104842389,-0.364708876439999,0.0462732884399999,-1.51863950753735,0.003496541,0.254330086
"TNF-alpha","ENSCAFG00000012942","SRMS",55.69790872,-0.480532822,1.186069713,-2.80522945947999,1.84416381547999,-0.405147198965698,0.003546983,0.256728172
"TNF-alpha","ENSCAFG00000003233","MEIS1",201.7698347,-0.219150237,0.556291246,-1.30948107916,0.87118060516,-0.393948742813759,0.003617274,0.25771748
"TNF-alpha","ENSCAFG00000008342","AGBL2",51.6976744,-0.160004454,0.374012808,-0.893069557679999,0.573060649679999,-0.427804745125199,0.003691679,0.25771748
"TNF-alpha","ENSCAFG00000010144","ELK4",907.0809899,-0.202969816,0.51205288,-1.2065934608,0.8006538288,-0.396384482790136,0.003654875,0.25771748
"TNF-alpha","ENSCAFG00000012923","DSCAML1",11.19158774,-0.538938278,1.353499082,-3.19179647871999,2.11391992272,-0.398181487647289,0.00369301,0.25771748
"TNF-alpha","ENSCAFG00000013332","ATF2",711.572115,-0.130940095,0.173935591,-0.47185385336,0.20997366336,-0.752807946017212,0.00366182,0.25771748
"TNF-alpha","ENSCAFG00000015727","ARHGEF10L",356.3396136,0.51275992,1.277118446,-1.99039223416,3.01591207416,0.401497544418053,0.003639131,0.25771748
