"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"TGFB","C7","GSE17721_CPG_VS_GARDIQUIMOD_4H_BMDC_DN","GSE17721_CPG_VS_GARDIQUIMOD_4H_BMDC_DN",167,-0.402385704,-0.849463491,0.654498044,0.870967799,0.777712479,194,"tags=4%, list=2%, signal=4%","AP3S2/MAP3K14/TSC22D4/N4BP2L1/NCF2/FERMT3"
"TGFB","C7","GSE17721_0.5H_VS_12H_POLYIC_BMDC_DN","GSE17721_0.5H_VS_12H_POLYIC_BMDC_DN",160,0.331094467,0.848474969,0.652360515,0.870967799,0.777712479,1092,"tags=12%, list=9%, signal=11%","GFPT2/RAB38/TMEM185A/BFAR/ATG12/TMEM192/PPP2R5A/DNAJB1/SQSTM1/PLEKHA3/VPS54/SEC13/STARD3NL/STAU1/TBK1/GDE1/GINM1/GSPT1/UBE2R2"
"TGFB","C7","GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP","GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP",161,-0.400444091,-0.848324341,0.653645833,0.870967799,0.777712479,279,"tags=3%, list=2%, signal=3%","EPB41/EYA2/PLXNC1/TTC38/LCP2"
"TGFB","C7","GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_DN","GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_DN",161,-0.399443398,-0.846204416,0.654947917,0.870967799,0.777712479,1824,"tags=13%, list=15%, signal=11%","FIP1L1/PTPN2/GNPNAT1/MRTO4/MCM5/PIP4K2A/SLC6A6/MIF4GD/RPA3/RBM26/CAPZA2/RBBP4/ARPC5L/IRF2BP1/ROCK1/SCAMP1/DEK/PRPF39/OGT/WDHD1/SIGLEC1"
"TGFB","C7","GSE14308_TH2_VS_INDUCED_TREG_DN","GSE14308_TH2_VS_INDUCED_TREG_DN",160,-0.398565085,-0.84562422,0.654096229,0.870967799,0.777712479,2406,"tags=26%, list=20%, signal=21%","COX19/PEX11A/CGAS/NDUFV2/GET4/MIB2/VRK1/MOV10/STRAP/ZNF184/HDAC5/PLEKHH1/POC5/LAS1L/CARMIL2/ARRDC2/RNF44/ZMPSTE24/BTBD1/SPPL2B/CDK2/HDAC1/SETDB2/GFUS/SETDB1/FBXO42/ARID1A/NFKBIE/SCAF4/TBC1D13/PRKAB2/GPATCH3/NECAP2/BLOC1S5/RBM10/RGS19/MLEC/WFS1/ELK1/LDB1/CCND2/RNF24"
"TGFB","C7","GSE17186_MEMORY_VS_NAIVE_BCELL_UP","GSE17186_MEMORY_VS_NAIVE_BCELL_UP",158,-0.398917932,-0.844245368,0.651890482,0.870967799,0.777712479,585,"tags=10%, list=5%, signal=10%","ZFP1/STK4/EMG1/RANBP10/ZNF260/CEP97/H2AJ/ZBTB2/SLC16A6/CCS/ENTPD5/PTGER2/RIPOR2/B3GNT2/PPM1J/SELPLG"
"TGFB","C7","GSE29615_CTRL_VS_DAY3_LAIV_IFLU_VACCINE_PBMC_UP","GSE29615_CTRL_VS_DAY3_LAIV_IFLU_VACCINE_PBMC_UP",143,-0.400989455,-0.843622237,0.653034301,0.870967799,0.777712479,1241,"tags=13%, list=10%, signal=12%","BCLAF1/MMP25/TLK2/SUMO1/MBIP/MNT/MBOAT7/TIGAR/COIL/KBTBD8/ZNF770/ING3/SLC25A39/GNA13/ZFP36L1/GABARAPL1/B3GNT2/RASGEF1B/TXNDC16"
"TGFB","C7","GSE35825_UNTREATED_VS_IFNG_STIM_MACROPHAGE_UP","GSE35825_UNTREATED_VS_IFNG_STIM_MACROPHAGE_UP",161,-0.397946196,-0.843032654,0.654947917,0.870967799,0.777712479,859,"tags=13%, list=7%, signal=12%","TPI1/CD83/LPIN2/NFKBIE/RTP4/VAV3/MAP3K8/PLPP3/CD47/GNA13/SERPINB2/RBPJ/SPRYD7/RASA2/MLLT6/BCL2A1/JARID2/PIK3R5/PTGS2/RASGEF1B/IGSF6"
"TGFB","C7","GSE20198_UNTREATED_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_UP","GSE20198_UNTREATED_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_UP",143,-0.40056638,-0.842732152,0.653034301,0.870967799,0.777712479,1321,"tags=15%, list=11%, signal=14%","RPA1/ENTPD6/RANBP10/LRP6/SNRPA1/RBBP4/MYPOP/CSNK1D/LSM14A/HDAC1/PDXK/AGPAT3/TBC1D13/GREB1L/UBR5/RBM10/WDR7/RNF123/SLC66A1/RBPJ/BCL2A1/SYCP2"
"TGFB","C7","GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_UP","GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_UP",158,0.328912664,0.842635252,0.655319149,0.870967799,0.777712479,1462,"tags=18%, list=12%, signal=16%","IRF6/ACOT11/ITGB6/CISH/PKP2/AKTIP/BLZF1/MRPL11/SAR1A/TOE1/RBM19/RBM34/HNRNPDL/BLCAP/SBDS/RAB3IP/TNS1/VCP/RPL3/PMEL/TBC1D17/PLRG1/USE1/TRPC4AP/ADGRD1/GPC1/RHBDF1/MAP3K20/SORBS1"
"TGFB","C7","GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP","GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP",142,-0.400945602,-0.842299898,0.654304636,0.870967799,0.777712479,2813,"tags=30%, list=23%, signal=23%","GPSM3/TRAPPC14/CES2/LIPE/RPL13/USPL1/ZMYM3/PTOV1/DOP1B/FKBP4/P2RY14/UBE2O/PRDM4/FEM1B/NAGPA/HMGN4/CTBP1/ASB8/BBS9/HDAC5/CNPY3/NCOR1/PIGO/PEX14/RNF126/CERS2/SH3BGRL3/PI4KB/APBB3/SLC12A6/PSKH1/CD83/CBFA2T2/ZNF7/FOXJ2/MSL1/HTRA2/FAAP100/SETD1B/TNFRSF1B/OVGP1/JARID2"
"TGFB","C7","GSE37301_MULTIPOTENT_PROGENITOR_VS_GRAN_MONO_PROGENITOR_UP","GSE37301_MULTIPOTENT_PROGENITOR_VS_GRAN_MONO_PROGENITOR_UP",143,-0.400250311,-0.842067188,0.654353562,0.870967799,0.777712479,1915,"tags=17%, list=16%, signal=14%","RFX1/AZIN1/PTPN2/FOXO4/MDN1/PSME1/EPS8/EXTL3/PTPN1/SRRM1/GRINA/PPAN/NIPBL/TNFRSF1A/POLA1/NGDN/JAK2/SETDB1/NELFA/TUT7/CD34/CASP8AP2/IL7/C5AR1"
"TGFB","C7","GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_UP","GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_UP",133,-0.403733783,-0.840334443,0.65,0.870967799,0.777712479,810,"tags=8%, list=7%, signal=8%","NPC2/BRPF1/ENTPD5/UBN1/ZNF652/BPHL/NCKIPSD/SPHK2/SLC26A6/EYA2/AMPD1"
"TGFB","C7","GSE26290_CTRL_VS_AKT_INHIBITOR_TREATED_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_DN","GSE26290_CTRL_VS_AKT_INHIBITOR_TREATED_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_DN",152,-0.397242732,-0.840058059,0.651315789,0.870967799,0.777712479,254,"tags=7%, list=2%, signal=7%","NECAP2/MAP3K8/NCOA3/RPS6KA5/BCL2A1/JARID2/HOPX/IL17RB/FES/MAML3"
"TGFB","C7","GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN","GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN",148,-0.396498638,-0.83903839,0.650065531,0.870967799,0.777712479,94,"tags=3%, list=1%, signal=3%","ZFR2/GNA13/DOK2/LCP2"
"TGFB","C7","GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_UP","GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_UP",151,-0.396362187,-0.838449262,0.651315789,0.870967799,0.777712479,345,"tags=3%, list=3%, signal=3%","ZNF384/PLXNC1/GLUL/HFE/SRMS"
"TGFB","C7","GSE33424_CD161_INT_VS_NEG_CD8_TCELL_UP","GSE33424_CD161_INT_VS_NEG_CD8_TCELL_UP",151,-0.39553977,-0.836709554,0.651315789,0.870967799,0.777712479,979,"tags=16%, list=8%, signal=15%","DHX58/SETDB2/ELF1/OAS3/RBL1/RTP4/CIPC/RNASEL/CHRAC1/CHD7/CCNL1/RNF213/OAS1/ZUP1/ETV6/CD47/PLAC8/IFI44L/PABPC1/CCND2/SAMD9L/LPAR6/RASGEF1B/CD274"
"TGFB","C7","GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_6H_UP","GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_6H_UP",147,-0.395641679,-0.836553029,0.652686763,0.870967799,0.777712479,168,"tags=7%, list=1%, signal=7%","UTP23/POGZ/THUMPD3/PEX3/MAP3K8/ING3/PIGN/PTGS2/HAVCR1/IL1B"
"TGFB","C7","GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_DN","GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_DN",151,-0.395313634,-0.836231195,0.651315789,0.870967799,0.777712479,2299,"tags=23%, list=19%, signal=18%","CKMT2/PRKD3/EIF1B/QKI/CMIP/H6PD/KRAS/ZMYM4/MOV10/NOP2/MAP3K1/RMND5A/PRUNE1/SMAP2/CPSF7/SRRM1/PUM2/BHLHE40/CBFB/RBBP4/PKLR/OSTF1/TENT5A/SFR1/ERF/WNK1/PAXBP1/TAF6/OGT/BIRC6/ZRANB2/ZFP62/SEMA4D/RGS14"
"TGFB","C7","GSE32034_LY6C_HIGH_VS_LOW_MONOCYTE_UP","GSE32034_LY6C_HIGH_VS_LOW_MONOCYTE_UP",133,-0.401550816,-0.835790798,0.655405405,0.870967799,0.777712479,1300,"tags=13%, list=11%, signal=12%","BHLHE40/DRAM2/POLA1/NUDT4/ADAT1/CIITA/LPIN1/KCNE2/CD79A/DPH6/ZYG11A/ATP2A3/PABPC1/GABARAPL1/HOPX/ETV4/IL1RL1"
"TGFB","C7","GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN","GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN",140,-0.398552468,-0.835624246,0.654255319,0.870967799,0.777712479,1163,"tags=15%, list=10%, signal=14%","RALGAPA2/PLA1A/MYH11/AGFG2/CTC1/NADK/NSD3/TRIM56/FAM222B/CYRIA/OAS3/TBC1D13/PMAIP1/IL2RA/IFI44L/CD38/N4BP2L1/BCL2A1/SAMD9L/CYTIP/CD274"
"TGFB","C7","GSE34006_WT_VS_A2AR_KO_TREG_UP","GSE34006_WT_VS_A2AR_KO_TREG_UP",147,-0.395112971,-0.835435119,0.653997379,0.870967799,0.777712479,1669,"tags=17%, list=14%, signal=15%","FURIN/GNAI2/FBXW9/SLC7A6/SHKBP1/SPR/RNF166/SMARCD2/SGK1/VPS41/VPS18/PIP5K1B/CDH23/CHKB/MAZ/WAS/ABHD17A/BPHL/ERG28/SLC66A1/MAP4K1/EFHD2/TNFRSF1B/COTL1/STING1"
"TGFB","C7","GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_DN","GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_DN",126,0.329565075,0.831859593,0.65503876,0.870967799,0.777712479,52,"tags=2%, list=0%, signal=2%","PPM1K/MT2A/DIPK1B"
"TGFB","C7","GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_UP","GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_UP",115,-0.401702469,-0.830200527,0.651577503,0.870967799,0.777712479,1964,"tags=17%, list=16%, signal=14%","UGDH/GLA/MYG1/SLC35B1/CCDC177/THUMPD2/FKBP2/SETMAR/SRP19/TMEM208/DCST2/LONP1/ZNF326/ZNF16/ALKBH2/SF3B5/LRRC14/PHACTR1/KCTD12"
"TGFB","C7","GSE22611_MUTANT_NOD2_TRANSDUCED_VS_CTRL_HEK293T_STIMULATED_WITH_MDP_6H_UP","GSE22611_MUTANT_NOD2_TRANSDUCED_VS_CTRL_HEK293T_STIMULATED_WITH_MDP_6H_UP",131,-0.39811141,-0.829917162,0.654520918,0.870967799,0.777712479,1339,"tags=13%, list=11%, signal=12%","NSD3/LRIG2/ZMYM6/TASOR/VPS13B/ZBTB44/RFX5/NFAT5/KRIT1/PRRC2C/SYT2/SBNO1/CTSW/CARF/OVGP1/NR3C2/MARCHF1"
"TGFB","C7","GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_FETAL_DN","GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_FETAL_DN",124,-0.39771283,-0.829040378,0.650472335,0.870967799,0.777712479,470,"tags=6%, list=4%, signal=5%","POLD1/AGAP2/CNDP2/IL2RA/CXCR4/DENND2D/FYB1"
"TGFB","C7","GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP","GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP",128,-0.397249264,-0.828262508,0.65410498,0.870967799,0.777712479,1261,"tags=15%, list=11%, signal=13%","HNRNPR/MAD1L1/CALM1/SSH2/MED7/CHKB/NEMF/LYST/UBL7/IFNGR1/POLR1G/SNRNP70/PIGL/FTSJ3/POLG2/ELMO1/PPM1J/VAV1/ARHGAP4"
"TGFB","C7","GSE3982_EOSINOPHIL_VS_TH1_UP","GSE3982_EOSINOPHIL_VS_TH1_UP",129,-0.395855889,-0.826016669,0.654520918,0.870967799,0.777712479,1013,"tags=11%, list=8%, signal=10%","CYRIA/SUMO1/SUPT20H/LPIN1/CLK1/MAEA/USP19/SOCS7/HECA/PLAC8/DMTF1/PTPRE/NKTR/IL6R"
