"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"VEGF","C7","GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP","GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP",169,0.365277644,0.80653472,0.7,0.925103734,0.894682245,1761,"tags=16%, list=15%, signal=14%","LBP/OAT/SMARCA4/PTPN11/MICU2/LONP2/EXOSC10/DDX19A/RIOK2/LANCL2/UTP11/SNX2/DUSP11/MPHOSPH6/LRRC47/SERPINB5/SCO1/PRRC1/EXOSC8/HNRNPDL/C1GALT1C1/SERBP1/PSMB1/TRNT1/TASOR2/AGPS/FEN1"
"VEGF","C7","GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN","GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN",175,0.36276761,0.808509764,0.703910615,0.925531789,0.895096223,2593,"tags=39%, list=22%, signal=31%","SLC25A11/DDX49/GADD45GIP1/POLR2E/URB2/MNAT1/NUP88/RNF25/DCPS/UBE2S/SOCS1/NAPG/MRPL40/MORF4L2/RTCB/BYSL/RPP30/MRPL34/NUDC/HSPA9/CLPB/STOML2/GRPEL1/ALG3/HK2/STAM/SLC7A5/HSBP1/HSPA8/MRPS30/DLD/MAPKAPK3/SNRNP40/DNTTIP2/AATF/UTP18/TOE1/TUBG1/ABCF1/LSM4/EIF3B/SERBP1/MCM7/NOC2L/JPT2/RAB8B/CLTA/PDIA4/EGR2/EIF3J/PDAP1/WDR77/GNL2/POLR2H/POLDIP2/MMADHC/IFRD2/DDX21/MED20/PRPF19/UQCRQ/DEF8/SEC61B/MRPS18A/PSMA7/PSMD8/PMPCA/DESI2"
"VEGF","C7","GSE20727_H2O2_VS_ROS_INHIBITOR_TREATED_DC_UP","GSE20727_H2O2_VS_ROS_INHIBITOR_TREATED_DC_UP",171,-0.3510746,-0.807453562,0.701943844,0.925531789,0.895096223,2595,"tags=33%, list=22%, signal=26%","ATP10D/TET1/PACC1/TCF20/FAM13B/NR3C1/PPP1R18/RPS23/TRIM56/PHF2/ATP8A1/ZBTB40/IER5/GALNT6/THAP12/PBX2/CREBRF/AUH/GALNT10/ZNF354C/GAPVD1/PSD/PKD2L2/CAMK1D/PIK3IP1/KLHDC1/AGO1/MIER1/ZFP36L2/EEF1D/MAP2K7/LRRC39/DIPK1A/COL11A2/SESN1/BTG1/ZNF263/AMPD3/CDKN1B/ZBTB49/POLR3GL/MNT/PPM1B/MECP2/GATAD2B/IGIP/ADGRL1/DDX5/TOP2B/RCBTB2/UBR1/RC3H1/FAM78A/GPR146/ENC1/BBX"
"VEGF","C7","GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_DN","GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_DN",164,-0.347773809,-0.806316205,0.701646091,0.925531789,0.895096223,486,"tags=6%, list=4%, signal=6%","UBR1/CEP350/CD79A/CTDP1/TRAPPC12/TTF1/CCDC91/ELK4/CIC/SPOCK2"
"VEGF","C7","GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_DN","GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_DN",167,0.367125318,0.805088572,0.704761905,0.925531789,0.895096223,13,"tags=1%, list=0%, signal=1%","PYCARD"
"VEGF","C7","GSE7852_THYMUS_VS_FAT_TREG_UP","GSE7852_THYMUS_VS_FAT_TREG_UP",173,-0.349203136,-0.804187699,0.703225806,0.925531789,0.895096223,1790,"tags=21%, list=15%, signal=18%","HYPK/AGO1/ASXL1/ENOX2/ATP6V0A2/CD47/GUF1/AP3M1/PIGX/CETN3/POLR2D/DFFB/PSMG2/PNISR/COIL/REXO2/SPICE1/RFX7/TCEANC/CDC16/ZDHHC16/CHAMP1/ZBTB9/SMARCAD1/TARS2/ADGRL1/ZNF512/CEP68/GATAD1/LUC7L3/GYPC/TRAPPC12/ITGAE/LEF1/N4BP2/TMEM229B"
"VEGF","C7","GSE339_CD4POS_VS_CD8POS_DC_UP","GSE339_CD4POS_VS_CD8POS_DC_UP",161,0.369620068,0.802593477,0.703703704,0.925531789,0.895096223,20,"tags=1%, list=0%, signal=1%","TGM2"
"VEGF","C7","GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_DN","GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_DN",169,0.36312678,0.801785602,0.703773585,0.925531789,0.895096223,20,"tags=1%, list=0%, signal=1%","TGM2"
"VEGF","C7","GSE21670_UNTREATED_VS_IL6_TREATED_CD4_TCELL_UP","GSE21670_UNTREATED_VS_IL6_TREATED_CD4_TCELL_UP",151,-0.347843244,-0.80165455,0.703703704,0.925531789,0.895096223,850,"tags=8%, list=7%, signal=7%","PUM1/PPP2R5C/AKAP13/EAF1/RGS2/RASA3/MSL2/OAF/ASS1/SEMA4D/CXCR4/UNC13D"
"VEGF","C7","GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_UP","GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_UP",164,0.366122195,0.799245853,0.705426357,0.925531789,0.895096223,1423,"tags=17%, list=12%, signal=15%","TKTL1/OAT/PRR5L/SGF29/MARCKSL1/IGF2R/MRPL44/IQSEC1/TFIP11/GAR1/ZCCHC10/COQ10B/RASSF4/JAKMIP1/AGAP1/EIF2B2/ELP6/CYB5R4/PCBP4/MAD1L1/GRAMD2B/PSMB7/NDUFAF4/DMAC2/COA6/CD58/DDOST/SAP18"
