gene,Hugo_Symbol,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000002342,ETV1,-0.057957294,0.341242919,0.005399279,0.547826443
ENSCAFG00000003067,MTURN,-0.0516709,0.293518812,0.005504373,0.547826443
ENSCAFG00000008317,TMEM131L,-0.059867319,0.186085919,0.005525463,0.547826443
ENSCAFG00000009250,NA,0.052285027,0.205362478,0.005361662,0.547826443
ENSCAFG00000018214,PDGFRB,-0.074859774,0.463555042,0.005597112,0.547826443
ENSCAFG00000037848,NA,-0.053760675,0.30961009,0.005445179,0.547826443
ENSCAFG00000045520,NA,-0.052596564,0.304679396,0.0055782,0.547826443
ENSCAFG00000046831,NA,-0.098028137,0.619374053,0.0055688,0.547826443
ENSCAFG00000017495,NA,0.04675829,0.218264468,0.005672684,0.551641094
ENSCAFG00000012521,TLK1,-0.057818624,0.170744785,0.005720492,0.552724247
ENSCAFG00000004147,PIWIL4,0.066038665,0.425282207,0.006275812,0.56306738
ENSCAFG00000004152,DNAJC1,0.055566146,0.180848031,0.006107898,0.56306738
ENSCAFG00000006157,MAVS,-0.054287461,0.18447784,0.006142784,0.56306738
ENSCAFG00000007307,NA,0.092901109,0.615017441,0.00619294,0.56306738
ENSCAFG00000009326,BPHL,-0.048257434,0.278269125,0.005940347,0.56306738
ENSCAFG00000019549,TELO2,-0.053521396,0.158959467,0.006121984,0.56306738
ENSCAFG00000028801,NA,-0.043512699,0.21986334,0.006238554,0.56306738
ENSCAFG00000031526,PSMG4,-0.05367867,0.185604359,0.006154494,0.56306738
ENSCAFG00000032204,PRSS53,-0.073435216,0.474975771,0.006232012,0.56306738
ENSCAFG00000032222,DLA-64,0.047295721,0.198089256,0.006080691,0.56306738
ENSCAFG00000042181,CIR1,-0.055445035,0.16835227,0.006089171,0.56306738
ENSCAFG00000049474,NA,-0.072560458,0.464673058,0.006096388,0.56306738
ENSCAFG00000019547,TMEM204,-0.052966255,0.334323714,0.006429622,0.573453773
ENSCAFG00000023107,OAS2,0.062526661,0.407982896,0.006543444,0.576779688
ENSCAFG00000045919,NACA2,0.053068939,0.175544684,0.006536468,0.576779688
ENSCAFG00000043982,NA,0.041348083,0.215432898,0.00672381,0.589232454
