gene,Hugo_Symbol (add = in front),log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000048394,NA,-0.08548839,0.310361717,0.003297953,0.357581635
ENSCAFG00000017523,PAQR5,0.291018466,0.937045086,0.003408092,0.360945776
ENSCAFG00000009257,MED13L,-0.082546571,0.305926808,0.003492894,0.363151114
ENSCAFG00000012205,INPP5F,-0.082687116,0.305874962,0.003475855,0.363151114
ENSCAFG00000014179,ASTN1,-0.392527625,1.345796145,0.003525505,0.363151114
ENSCAFG00000031840,NA,-0.11228518,0.414561104,0.003520087,0.363151114
ENSCAFG00000013108,AP3B2,0.204127434,0.696788655,0.003557138,0.363916945
ENSCAFG00000005949,NA,-0.062357645,0.208465633,0.003620673,0.366830371
ENSCAFG00000009480,PKIG,-0.21305538,0.72729625,0.003634399,0.366830371
ENSCAFG00000002950,HOXA5,-0.264858742,0.912217759,0.004054953,0.388679315
ENSCAFG00000003556,SUGCT,-0.181919742,0.655843565,0.004052502,0.388679315
ENSCAFG00000005807,NUMA1,-0.073067205,0.146125793,0.003935943,0.388679315
ENSCAFG00000009819,CTSA,0.124241299,0.469740681,0.003958834,0.388679315
ENSCAFG00000011974,EPB42,-0.175298705,0.633276673,0.004005159,0.388679315
ENSCAFG00000016307,EFHD2,0.158525857,0.582285851,0.004030163,0.388679315
ENSCAFG00000017628,C20H19orf38,0.336265749,1.16981745,0.004057627,0.388679315
ENSCAFG00000018171,CCL5,0.340329234,1.178646559,0.004005262,0.388679315
ENSCAFG00000006315,NA,-0.075130986,0.295675372,0.004124184,0.39255443
ENSCAFG00000014309,RASGRP2,-0.296884812,1.037272698,0.004242781,0.401302995
ENSCAFG00000010171,PHKG1,-0.15552789,0.582672717,0.004277854,0.402091568
ENSCAFG00000004946,WBP2,-0.053917906,0.156164493,0.004671038,0.412761049
ENSCAFG00000007065,ITGB7,0.218645461,0.804591329,0.004693273,0.412761049
ENSCAFG00000009521,AMPD1,0.239336606,0.866070501,0.004574757,0.412761049
ENSCAFG00000009661,PIK3C2B,-0.143232925,0.550212849,0.004479667,0.412761049
ENSCAFG00000010928,ACSL5,0.277752175,1.007128845,0.004650553,0.412761049
ENSCAFG00000015293,YDJC,0.265821634,0.949133741,0.004480726,0.412761049
ENSCAFG00000016641,CD68,0.191339645,0.709492496,0.004568959,0.412761049
ENSCAFG00000017007,ASPHD1,0.178745868,0.672614656,0.00465466,0.412761049
ENSCAFG00000020084,NA,-0.127876242,0.499487247,0.004491904,0.412761049
ENSCAFG00000023682,PCDHGA1,-0.089375092,0.366546026,0.004642254,0.412761049
ENSCAFG00000024792,NA,0.302477358,1.108844816,0.004638158,0.412761049
ENSCAFG00000000287,CYP27B1,0.121863239,0.487546584,0.004774695,0.414080814
ENSCAFG00000001084,CXCL14,0.260642452,0.964946998,0.004906457,0.414080814
ENSCAFG00000002703,NA,0.06514208,0.135413493,0.004857757,0.414080814
ENSCAFG00000003059,SNX30,-0.09333779,0.388698088,0.00492855,0.414080814
ENSCAFG00000004854,ATP6V0B,0.052074828,0.19736309,0.004920678,0.414080814
ENSCAFG00000011850,KLHL24,-0.086442312,0.361222049,0.004888643,0.414080814
ENSCAFG00000012120,TRAF5,-0.206885011,0.772182126,0.00481584,0.414080814
ENSCAFG00000016774,VPS13C,-0.06475639,0.266069166,0.004756255,0.414080814
ENSCAFG00000019566,DIPK1B,0.195972625,0.744356548,0.004992537,0.417126497
ENSCAFG00000011796,MCF2L2,-0.111983921,0.462928677,0.005148908,0.421060484
ENSCAFG00000017484,CYFIP2,-0.120693596,0.493335269,0.005123198,0.421060484
