gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000030771,LCLAT1,357.4983103,0.051282339,0.123374803,0.192264696,0.801325862
ENSCAFG00000031798,ZNF436,468.9559452,-0.07402993,0.096702165,0.192029504,0.801325862
ENSCAFG00000043974,NA,9.590364851,-0.028962808,0.232423391,0.191925143,0.801325862
ENSCAFG00000049209,NA,1947.368149,-0.034755195,0.142925798,0.191665665,0.801325862
ENSCAFG00000001213,ZNF367,760.6065524,0.057913658,0.117886405,0.192979391,0.801763702
ENSCAFG00000001437,POLR2F,2095.70922,0.074494209,0.094858938,0.192814124,0.801763702
ENSCAFG00000001577,CEP78,484.4383382,-0.069785074,0.104809071,0.192890588,0.801763702
ENSCAFG00000002565,TEX10,884.7510197,0.062907525,0.113294544,0.192634401,0.801763702
ENSCAFG00000003892,SLC22A16,38.48911226,0.028476707,0.183520399,0.193256155,0.801763702
ENSCAFG00000005657,METTL3,1438.806051,0.061563537,0.114489868,0.193396835,0.801763702
ENSCAFG00000006250,SPRY4,366.0573874,-0.028298709,0.209268215,0.193142227,0.801763702
ENSCAFG00000010397,NA,353.3819179,-0.028609497,0.18000476,0.193268568,0.801763702
ENSCAFG00000011268,B3GALNT2,1070.662171,0.050388644,0.123992965,0.192856905,0.801763702
ENSCAFG00000011843,C4H1orf131,1201.793819,0.064382524,0.111585833,0.193440551,0.801763702
ENSCAFG00000012854,RERG,15.22061721,0.028561132,0.222607859,0.193102808,0.801763702
ENSCAFG00000014126,SEC16B,27.82450438,0.028388513,0.187739517,0.192967927,0.801763702
ENSCAFG00000014579,PRDX6,9823.131979,0.042046395,0.13119606,0.193381176,0.801763702
ENSCAFG00000014962,DYNC2H1,622.9405124,-0.047864399,0.125982892,0.193044394,0.801763702
ENSCAFG00000016253,DNAJC16,450.3438023,-0.046287127,0.127237167,0.193415537,0.801763702
ENSCAFG00000016381,DEGS1,2622.070424,0.059997159,0.116087862,0.192677175,0.801763702
ENSCAFG00000017149,IGDCC3,65.52087649,-0.042761792,0.130463794,0.193382767,0.801763702
ENSCAFG00000017166,TMEM63C,227.8697002,0.028343109,0.210121638,0.192801297,0.801763702
ENSCAFG00000019411,OAZ1,10716.94425,-0.062017776,0.114212084,0.192473565,0.801763702
ENSCAFG00000028708,SCD5,652.0213958,0.028445962,0.185095764,0.193078948,0.801763702
ENSCAFG00000004331,NA,223.7748986,-0.044537219,0.128746366,0.19356564,0.802060171
ENSCAFG00000015126,SCYL3,431.4376802,-0.061670965,0.114333023,0.193691568,0.802359951
ENSCAFG00000003316,NA,5.126636314,0.038785679,0.135009952,0.193811364,0.802370506
ENSCAFG00000008670,PTK2B,1490.070725,-0.029002456,0.17202615,0.193820372,0.802370506
ENSCAFG00000014390,XRCC5,1454.261247,0.067026991,0.108394341,0.193854857,0.802370506
ENSCAFG00000023207,WTAP,1984.806536,-0.075512076,0.088381493,0.193936363,0.802486054
ENSCAFG00000007130,NSMAF,1745.8108,-0.051826471,0.122660678,0.194247072,0.802752142
ENSCAFG00000011140,KIF14,1847.061215,-0.04922613,0.124716872,0.194222565,0.802752142
ENSCAFG00000011431,NA,17.80899242,0.03823882,0.135683824,0.194268699,0.802752142
ENSCAFG00000014056,MID1IP1,1047.34562,0.057071801,0.118419526,0.194169655,0.802752142
ENSCAFG00000043646,NA,913.0594494,-0.062238703,0.113675359,0.194229209,0.802752142
ENSCAFG00000004701,DYNLT4,6.909016144,0.029728405,0.163509743,0.194375223,0.80276867
ENSCAFG00000037811,NA,22.7324916,-0.02950475,0.252467058,0.194379913,0.80276867
ENSCAFG00000024673,FBXO47,5.875847038,-0.037182675,0.137275774,0.194435797,0.802778069
ENSCAFG00000002106,NA,243.5283889,-0.055145931,0.119910559,0.194905892,0.802975727
ENSCAFG00000003464,ATP6V1C2,116.4166797,0.039726289,0.133586558,0.19473185,0.802975727
ENSCAFG00000006326,KCTD16,86.95761894,0.028445675,0.18066159,0.194562508,0.802975727
ENSCAFG00000007985,PLCE1,134.7117126,0.029052643,0.24215109,0.194658482,0.802975727
ENSCAFG00000008946,GLT8D1,1082.514985,0.059073583,0.116593084,0.194675549,0.802975727
ENSCAFG00000009663,SCD,7047.881636,0.050492671,0.123613104,0.194933031,0.802975727
ENSCAFG00000012766,UBE4A,1825.410241,-0.067015757,0.108167808,0.194902648,0.802975727
ENSCAFG00000018404,NUDT14,228.3961916,0.039975303,0.133234175,0.19496626,0.802975727
ENSCAFG00000031526,PSMG4,1042.950861,-0.054885458,0.120122733,0.194908242,0.802975727
ENSCAFG00000007666,EIF4G2,44238.43798,0.063443875,0.11219093,0.195521912,0.803055576
ENSCAFG00000010784,TNNI1,29.32918884,0.028728883,0.173522108,0.195404796,0.803055576
ENSCAFG00000013516,BROX,867.9917771,-0.059977883,0.115667537,0.195280898,0.803055576
ENSCAFG00000014530,ABLIM2,49.1955063,0.030539694,0.276149787,0.195400389,0.803055576
ENSCAFG00000014943,CYP27A1,95.80115115,0.028171942,0.215230093,0.195431113,0.803055576
ENSCAFG00000015034,NOP2,5496.1953,-0.050007795,0.123919907,0.195464965,0.803055576
ENSCAFG00000030491,NA,12.20832695,-0.038686816,0.134786038,0.195487545,0.803055576
ENSCAFG00000037735,NA,7811.394942,0.031777734,0.150865414,0.19522356,0.803055576
ENSCAFG00000044938,NA,24.13588661,0.04662343,0.126673722,0.195299296,0.803055576
ENSCAFG00000049968,NA,35.27294603,-0.028077429,0.192047202,0.195263463,0.803055576
ENSCAFG00000018279,BAG5,1960.073639,-0.05790853,0.117468634,0.195642928,0.803112072
ENSCAFG00000029584,EIF1,11546.90377,0.071091539,0.101806404,0.19560121,0.803112072
ENSCAFG00000011967,SMPDL3B,134.757982,-0.049538541,0.12425689,0.19570533,0.803148072
ENSCAFG00000018451,RASD1,15.87612778,0.037337324,0.136660556,0.195951083,0.803689637
ENSCAFG00000020128,DNTTIP2,3005.136506,0.058534241,0.116877624,0.195892023,0.803689637
ENSCAFG00000031020,CDC26,294.8874109,0.054479846,0.120291385,0.195998301,0.803689637
ENSCAFG00000009845,TTF2,3522.673801,0.064056623,0.111420891,0.196073516,0.803777964
ENSCAFG00000000010,CTDP1,2632.554,-0.06931749,0.104248901,0.197513585,0.803891702
ENSCAFG00000000168,ME2,2508.183337,-0.066681677,0.108226354,0.196509994,0.803891702
ENSCAFG00000000751,TNXB,249.4432189,0.033815408,0.14319811,0.197701671,0.803891702
ENSCAFG00000000951,MTBP,880.6860645,-0.067598436,0.106773829,0.197525416,0.803891702
ENSCAFG00000001286,FANCC,187.6261149,-0.060633313,0.114672005,0.19749317,0.803891702
ENSCAFG00000001709,MCM5,8639.534186,-0.056115,0.11877408,0.197127352,0.803891702
ENSCAFG00000002918,RUFY3,3938.524415,-0.045893645,0.126861236,0.198194869,0.803891702
ENSCAFG00000003845,NA,112.3758579,0.028442923,0.175577042,0.196927926,0.803891702
ENSCAFG00000004902,DIAPH3,3451.446044,0.046915671,0.126025999,0.198094108,0.803891702
ENSCAFG00000004954,NRBP1,2370.625261,0.058193962,0.116991025,0.197069353,0.803891702
ENSCAFG00000007034,LYN,4434.323458,-0.03327478,0.144948138,0.196918682,0.803891702
ENSCAFG00000007377,PEPD,1511.29105,-0.04907948,0.124411065,0.19718732,0.803891702
ENSCAFG00000008175,MRPL19,847.3840397,0.056455789,0.118549569,0.196714473,0.803891702
ENSCAFG00000008292,HEXB,2087.356594,-0.038627742,0.134335961,0.198023403,0.803891702
ENSCAFG00000008568,AGPAT5,918.3851762,0.057599885,0.117610956,0.196445027,0.803891702
ENSCAFG00000010218,KIF18A,823.7750116,0.060296449,0.115089693,0.196931467,0.803891702
ENSCAFG00000011898,SLC19A1,1579.355153,-0.051568311,0.122517933,0.196672566,0.803891702
ENSCAFG00000012401,UMPS,2625.845325,0.062268669,0.113012307,0.197690569,0.803891702
ENSCAFG00000012433,PER2,270.0894655,-0.030398395,0.156390869,0.197319586,0.803891702
ENSCAFG00000012908,THEM4,1606.54654,-0.048910152,0.124463604,0.197769279,0.803891702
ENSCAFG00000013640,RBM45,929.7726465,0.064867696,0.110449458,0.196372101,0.803891702
ENSCAFG00000015193,NA,20.05910185,0.051990404,0.122042733,0.197670185,0.803891702
ENSCAFG00000016265,RELL1,1346.307684,0.037955155,0.135301107,0.197852042,0.803891702
ENSCAFG00000017076,GADD45GIP1,324.6821392,0.069435962,0.104239105,0.196880463,0.803891702
ENSCAFG00000018240,SLC26A2,249.4693865,-0.046742439,0.126169626,0.198086297,0.803891702
ENSCAFG00000018380,NA,221.8605018,0.069766172,0.103681511,0.196973224,0.803891702
ENSCAFG00000018715,PIGS,1643.534835,0.052423038,0.121742748,0.197366757,0.803891702
ENSCAFG00000019300,NA,12.63129102,0.028121441,0.216516086,0.196229763,0.803891702
ENSCAFG00000020201,RABEPK,912.6973537,0.053169357,0.121229175,0.19680233,0.803891702
ENSCAFG00000023820,NA,24.96952774,0.041808214,0.130662006,0.197915142,0.803891702
ENSCAFG00000028557,NKX2-8,9.553679587,0.028885804,0.242329742,0.196519589,0.803891702
ENSCAFG00000029920,TSC22D3,314.8783396,-0.036139932,0.138118425,0.198163199,0.803891702
ENSCAFG00000029948,IDNK,64.50492295,0.029915861,0.1591285,0.197740566,0.803891702
ENSCAFG00000044511,NA,74.95794252,-0.05328563,0.120978707,0.197896826,0.803891702
ENSCAFG00000046178,TXNDC17,592.0215424,0.041303961,0.131449621,0.196415253,0.803891702
ENSCAFG00000047620,NA,8.699122001,-0.043874761,0.128648312,0.198049754,0.803891702
ENSCAFG00000048027,NA,28.6359512,-0.03275959,0.146569362,0.196770014,0.803891702
ENSCAFG00000048936,NA,49.27598831,-0.069424297,0.104174895,0.197174473,0.803891702
ENSCAFG00000049049,NA,58.41146656,-0.037291298,0.136574151,0.196623987,0.803891702
ENSCAFG00000003153,VPS54,1119.800296,0.072338047,0.097995747,0.198775377,0.804270747
ENSCAFG00000012136,NEK2,1424.551248,0.070684775,0.101640923,0.198403587,0.804270747
ENSCAFG00000013770,NA,215.7047216,-0.028107547,0.225306148,0.198685857,0.804270747
ENSCAFG00000016940,TBC1D10B,1604.878055,-0.068624037,0.105002134,0.198681142,0.804270747
ENSCAFG00000018693,ALKBH7,496.0758923,0.061816117,0.113314748,0.198567106,0.804270747
ENSCAFG00000019609,TAS1R1,7.659910956,0.030477927,0.155110839,0.198571703,0.804270747
ENSCAFG00000019733,TMEM201,755.1189807,-0.045424839,0.127222077,0.198448484,0.804270747
ENSCAFG00000023924,CD151,6282.205743,0.032214064,0.147503897,0.198825396,0.804270747
ENSCAFG00000026246,NA,14.30000681,-0.045880976,0.126788602,0.198767254,0.804270747
ENSCAFG00000032762,NA,588.671193,-0.043889197,0.128521085,0.198791849,0.804270747
ENSCAFG00000001462,TLE1,1535.663945,-0.037828376,0.135217425,0.199077422,0.804855397
ENSCAFG00000003613,GAB1,309.3966698,0.028682378,0.168857625,0.199047709,0.804855397
ENSCAFG00000017779,NEO1,914.31581,0.029368398,0.162023958,0.199144506,0.804909304
ENSCAFG00000001551,PSIP1,6442.603223,0.056767113,0.117902191,0.199211129,0.804961323
ENSCAFG00000002336,NA,1290.531116,-0.043444689,0.128844065,0.199336644,0.805149439
ENSCAFG00000020344,THAP11,658.7877725,0.074569586,0.088379785,0.199365217,0.805149439
ENSCAFG00000004043,LAMA4,3358.454009,0.029816802,0.269446352,0.199570469,0.805322039
ENSCAFG00000005924,YIF1B,1220.581536,-0.048668031,0.124414947,0.199490787,0.805322039
ENSCAFG00000009746,NA,228.877113,0.07251794,0.097168446,0.199604379,0.805322039
ENSCAFG00000028642,NA,128.3504945,-0.037762352,0.135194499,0.199623066,0.805322039
ENSCAFG00000015040,FBXO34,1114.61809,0.05782403,0.116897105,0.19973188,0.805477993
ENSCAFG00000029432,ZNF19,58.09832266,-0.050210297,0.123147259,0.199823088,0.805477993
ENSCAFG00000045658,NA,86.01735196,-0.061055964,0.113857282,0.199803637,0.805477993
