,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000498,NA,0.097931809,-0.459662822,3.11653965,-0.147491408,0.882744161,NA
ENSCAFG00000000502,NA,52.4464288,0.673031516,0.628761584,1.070408139,0.284435637,0.98266012
ENSCAFG00000000506,MCCD1,7.021390648,-0.480685487,0.747544535,-0.643019198,0.520211643,0.998607586
ENSCAFG00000000507,VPS13B,1991.436735,-0.38172215,0.425012984,-0.898142326,0.369109676,0.998607586
ENSCAFG00000000509,DDX39B,5894.233449,-0.022300927,0.3091113,-0.072145299,0.942486276,0.998607586
ENSCAFG00000000510,PRR16,124.6386732,0.98289,2.499025997,0.393309234,0.694091099,0.998607586
ENSCAFG00000000512,SRFBP1,722.9379658,0.156247172,0.345871943,0.451748616,0.65145009,0.998607586
ENSCAFG00000000513,ATP6V1G2,13.0836002,-0.543349932,0.51613469,-1.052728955,0.292465234,0.98644635
ENSCAFG00000000515,LTA,13.53042013,4.122910263,1.674144044,2.462697447,NA,NA
ENSCAFG00000000517,TNF,220.8464561,6.044664324,2.135474255,2.830595738,0.00464614,0.286650214
ENSCAFG00000000519,NA,12.948618,-1.92732374,1.004692014,-1.918322942,0.055070075,0.752940595
ENSCAFG00000000522,SNCAIP,40.21042496,4.679607858,1.517776126,3.083200333,0.002047872,0.182660677
ENSCAFG00000000525,GLIPR1,1513.35913,1.175335068,0.859421447,1.36758871,0.171440852,0.937894566
ENSCAFG00000000529,RGS22,98.74769763,-0.350849305,0.574067526,-0.611163825,0.541091129,0.998607586
ENSCAFG00000000530,SNX2,2216.035193,0.612973514,0.337109254,1.818323014,0.069014777,0.789426257
ENSCAFG00000000532,NA,99.58733883,0.21143407,0.287897435,0.734407619,0.462700344,0.998607586
ENSCAFG00000000533,PRRC2A,15689.83919,-0.041090698,0.236818216,-0.173511559,0.862249343,0.998607586
ENSCAFG00000000534,SNX24,202.4798681,0.643595338,0.507708983,1.26764615,NA,NA
ENSCAFG00000000535,MYCT1,0.195863617,-0.940554162,3.11653965,-0.301794383,0.762808813,NA
ENSCAFG00000000538,VIP,0.121145648,-0.940554162,3.11653965,-0.301794383,0.762808813,NA
ENSCAFG00000000540,NA,132.3559046,-0.406772334,0.344765726,-1.179851428,0.238059311,0.970855084
ENSCAFG00000000543,CEP120,1363.395351,-0.319206636,0.33641534,-0.94884685,0.34269851,0.998607586
ENSCAFG00000000544,FBXO43,8.344344021,0.03306535,0.831451572,0.039768221,0.968277912,0.998607586
ENSCAFG00000000547,FBXO5,856.5121235,-0.070468395,0.213061961,-0.330741326,0.740839883,0.998607586
ENSCAFG00000000549,MTRF1L,309.2737063,-0.161080629,0.29866941,-0.539327511,0.589660889,0.998607586
ENSCAFG00000000550,RGS17,133.9402367,-0.353153112,0.634981327,-0.556162988,0.578099439,0.998607586
ENSCAFG00000000554,NA,385.8152364,0.220892133,0.305460439,0.723144817,0.469590917,0.998607586
ENSCAFG00000000555,RNF19A,2029.879596,-0.657185836,0.396550436,-1.657256621,0.097467604,0.854523586
ENSCAFG00000000557,CSNK1G3,1053.384745,-0.218506943,0.401475727,-0.544259413,0.586262972,0.998607586
ENSCAFG00000000558,ACR,4.156039102,-3.151218188,1.511529659,-2.084787532,0.037088591,0.683883545
ENSCAFG00000000561,MIOX,7.035162002,5.794922862,2.163246435,2.678808465,NA,NA
ENSCAFG00000000562,NA,512.6960541,-0.38051809,0.314673164,-1.209248623,0.226567343,0.966852663
ENSCAFG00000000563,SNX31,1066.832701,-0.077142455,0.295573588,-0.260992384,0.79409838,0.998607586
ENSCAFG00000000564,SCO2,516.516465,0.401970167,0.164939267,2.437079873,0.014806408,0.489538397
ENSCAFG00000000565,NA,43.75260296,-0.486024506,0.410952131,-1.182679121,0.236936342,0.97074827
ENSCAFG00000000566,ARSA,2198.00695,0.212875067,0.369671331,0.575849542,0.564716883,0.998607586
ENSCAFG00000000567,PABPC1,66196.61576,-0.257543024,0.33260574,-0.77431924,0.438742028,0.998607586
ENSCAFG00000000568,MAPK8IP2,93.26602863,1.93406501,0.971016428,1.991794323,0.046393629,0.723712874
ENSCAFG00000000569,ZNF608,1168.85509,0.54467056,0.785508766,0.693398449,0.488059535,0.998607586
ENSCAFG00000000570,SCAF8,1703.494837,-0.380731336,0.276865861,-1.375147278,0.16908579,0.93744684
ENSCAFG00000000572,NA,981.9860629,0.152236861,0.349883842,0.435106864,0.663484862,0.998607586
ENSCAFG00000000575,BAG6,9490.779244,0.22657003,0.5060542,0.447718901,0.654356079,0.998607586
ENSCAFG00000000577,TIAM2,727.8979479,-0.710147087,0.96764541,-0.733891857,0.46301465,0.998607586
ENSCAFG00000000578,NA,81.06765952,-0.143901556,0.219853182,-0.654534791,0.51276732,0.998607586
ENSCAFG00000000579,CHKB,366.3767223,0.541068395,0.236271129,2.290031787,0.022019474,0.573206467
ENSCAFG00000000580,NA,6923.767907,-0.25747384,0.279125541,-0.922430242,0.356304201,0.998607586
ENSCAFG00000000581,TFB1M,200.0600294,-0.26407213,0.356226239,-0.741304545,0.458508806,0.998607586
ENSCAFG00000000582,GRAMD2B,917.8314035,0.201171534,0.349500915,0.575596589,0.564887887,0.998607586
ENSCAFG00000000583,CLDN20,0.239631395,1.467806155,3.112473415,0.471588335,0.637220655,NA
ENSCAFG00000000584,ZNF706,1479.283897,0.083213989,0.233039442,0.357081138,0.721031065,0.998607586
ENSCAFG00000000586,CPT1B,367.3738639,0.720904367,0.457745326,1.574902736,0.115278897,0.881633191
ENSCAFG00000000587,GRHL2,41.04982623,4.016284007,1.896688968,2.117523787,NA,NA
ENSCAFG00000000588,ALDH7A1,1753.661847,-0.321816925,0.477636601,-0.673769399,0.500457933,0.998607586
ENSCAFG00000000589,NOX3,0,NA,NA,NA,NA,NA
ENSCAFG00000000590,PHAX,1075.008722,-0.11951339,0.362459856,-0.329728626,0.741605022,0.998607586
ENSCAFG00000000592,TEX43,0.386627064,0.439647767,2.139400006,0.205500498,0.837181109,NA
ENSCAFG00000000593,LMNB1,8267.395048,0.25154822,0.356287211,0.706026519,0.480171646,0.998607586
ENSCAFG00000000594,MARCHF3,1550.208795,0.295646991,0.859361287,0.344031079,0.730822913,0.998607586
ENSCAFG00000000595,NA,6.100060742,0.805892344,0.87499953,0.921020317,0.35703982,0.998607586
ENSCAFG00000000598,APOM,36.51403803,-0.628449153,0.397590079,-1.580645962,0.113959011,0.878928327
ENSCAFG00000000600,C6orf47,139.7997808,-0.547594622,0.519432628,-1.054216838,0.291783653,0.98644635
ENSCAFG00000000601,GPANK1,533.107867,-0.080087037,0.302594749,-0.264667636,0.791265511,0.998607586
ENSCAFG00000000602,RRM2B,274.9799775,-0.537938394,0.446945047,-1.203589564,0.228748255,0.967463949
ENSCAFG00000000603,NCAPH2,2474.107894,0.137965515,0.234715422,0.587799106,0.556667144,0.998607586
ENSCAFG00000000604,NA,3729.054518,-0.118434734,0.281560043,-0.420637576,0.674019751,0.998607586
ENSCAFG00000000606,LY6G5C,10.84191209,-0.194007946,0.661890921,-0.293111659,0.769436805,0.998607586
ENSCAFG00000000607,ABHD16A,1242.642461,-0.242898218,0.412487493,-0.588862018,NA,NA
ENSCAFG00000000608,ARID1B,2385.030457,-0.649246677,0.432143781,-1.502385792,0.132997503,0.904736652
ENSCAFG00000000609,ADM2,35.0539264,5.785134879,1.923307296,3.007909808,NA,NA
ENSCAFG00000000610,NA,0.265500341,-0.459660486,3.11653965,-0.147490659,0.882744752,NA
ENSCAFG00000000611,MEGF10,57.62250457,-0.690902313,0.958442941,-0.720859097,0.470996211,0.998607586
ENSCAFG00000000612,SBF1,4950.114028,0.235276122,0.297588716,0.790608345,0.429172576,0.998607586
ENSCAFG00000000613,NA,0.362573005,-1.9722034,2.842813001,-0.693750661,0.487838589,NA
ENSCAFG00000000614,LY6G6C,1.630596585,0.025830507,0.809168312,0.031922292,0.974534021,NA
ENSCAFG00000000615,MPIG6B,14.07907043,-1.965666851,0.860272245,-2.284935802,0.022316592,0.578725188
ENSCAFG00000000616,TMEM242,705.6911537,-0.454037465,0.314721327,-1.442665069,0.149114844,0.922943352
ENSCAFG00000000617,DDAH2,238.0153504,-0.197605077,0.601919505,-0.328291533,0.742691245,0.998607586
ENSCAFG00000000618,ZDHHC14,141.6809354,-1.510416334,0.761142598,-1.98440652,0.04721054,0.723712874
ENSCAFG00000000619,UBR5,4827.11873,-0.400940624,0.31085172,-1.289813113,0.197115554,0.950207921
ENSCAFG00000000620,PPP6R2,2129.448202,0.445606629,0.219625316,2.028940179,0.042464384,0.707389503
ENSCAFG00000000621,CLIC1,9881.981237,-0.073704411,0.306507122,-0.240465574,0.809969348,0.998607586
ENSCAFG00000000622,PRRC1,1938.281435,-0.153619932,0.379010402,-0.405318512,0.685243401,0.998607586
ENSCAFG00000000624,NA,12.98235669,-0.385168441,0.508391318,-0.757621987,0.448677313,0.998607586
ENSCAFG00000000625,CCDC192,10.88635687,-3.954603523,2.373631267,-1.666056383,NA,NA
ENSCAFG00000000626,NA,91.94403058,-0.615047997,0.677538508,-0.907768327,0.364000636,0.998607586
ENSCAFG00000000627,SNX9,2145.044447,-0.101913894,0.330537881,-0.308327425,0.7578332,0.998607586
ENSCAFG00000000628,SAPCD1,4.940057856,-1.182173709,0.846239243,-1.396973395,0.162421572,0.932469909
ENSCAFG00000000629,DENND6B,527.3166933,0.097214707,0.319399968,0.304366677,0.760848552,0.998607586
ENSCAFG00000000630,VWA7,80.51425095,0.456279587,0.494606369,0.922510537,0.356262337,0.998607586
ENSCAFG00000000632,NA,158.5116123,-0.287531189,0.255561009,-1.125098033,0.260547495,0.981717771
ENSCAFG00000000634,NA,20.70338558,0.020184108,0.312622584,0.06456382,0.948521292,0.998607586
ENSCAFG00000000636,VARS1,14140.00875,-0.238235442,0.278579995,-0.855177854,0.392452694,0.998607586
ENSCAFG00000000637,SLC12A2,2063.058259,-0.643822545,0.755386003,-0.852309338,0.394042424,0.998607586
ENSCAFG00000000638,KLF10,1892.133997,-0.28652207,0.31700714,-0.903834752,0.366083031,0.998607586
ENSCAFG00000000639,HSPA1L,55.44974649,-0.543678655,0.371089476,-1.465087777,0.142896971,0.919008249
ENSCAFG00000000641,NA,1572.126566,0.27933515,0.626911791,0.445573291,0.655905507,0.998607586
ENSCAFG00000000642,NEU1,2107.113827,-0.194920493,0.233320922,-0.835417978,0.403482411,0.998607586
ENSCAFG00000000643,AZIN1,4932.438651,-0.353026743,0.29237474,-1.207446112,0.227260386,0.967230309
ENSCAFG00000000644,SYNJ2,779.8398514,-0.228492297,0.51751336,-0.441519611,0.658836868,0.998607586
