,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000436,RAB3IP,1041.21775,-0.820983609,0.719335354,-1.141308577,0.253741534,0.856156439
ENSCAFG00000000437,PPP1R18,3816.425971,-0.174149204,0.342882601,-0.507897465,0.611525253,0.975718446
ENSCAFG00000000439,MYRFL,0.782471762,-1.859508315,3.04855525,-0.60996379,0.541885794,NA
ENSCAFG00000000441,CNOT2,2530.931827,-0.475271216,0.525424292,-0.904547474,0.365705173,0.916950269
ENSCAFG00000000442,MDC1,3820.019546,-1.106079598,0.324859511,-3.404793637,0.000662141,0.099130403
ENSCAFG00000000443,NA,23777.83443,0.022199634,0.296335597,0.074913827,0.940283275,0.995568415
ENSCAFG00000000444,FLOT1,2542.096097,-0.311148532,0.51163537,-0.608145077,0.543091258,0.964073777
ENSCAFG00000000445,SYNE1,2229.434226,-0.067152832,0.533226003,-0.125936904,0.89978187,0.993613704
ENSCAFG00000000446,PTPRB,439.6668738,-0.638159745,1.337181277,-0.477242508,NA,NA
ENSCAFG00000000447,IER3,5063.462796,-0.143987848,0.67808216,-0.212345725,0.831837325,0.992690505
ENSCAFG00000000448,DDR1,1301.228513,0.415411566,1.375087661,0.302098243,0.762577172,0.984253108
ENSCAFG00000000450,TSPAN8,503.2925615,-3.232015539,2.559510117,-1.26274771,0.206679862,0.827164661
ENSCAFG00000000451,LGR5,79.39749944,4.60013695,1.591624611,2.890214764,0.003849787,0.236362127
ENSCAFG00000000453,ZFC3H1,1377.335413,-0.596958838,0.246215513,-2.424537877,0.015327884,0.404896693
ENSCAFG00000000454,VARS2,5011.2347,-0.021949532,0.338927737,-0.064761685,0.948363748,0.995568415
ENSCAFG00000000458,RAB21,4121.429022,-0.271311355,0.399035165,-0.67991841,0.496556124,0.951847944
ENSCAFG00000000459,TBC1D15,1484.894112,-0.024174389,0.496092604,-0.048729591,0.961134794,0.99607319
ENSCAFG00000000460,LAPTM4B,7.76555516,4.469756855,2.031397116,2.20033632,NA,NA
ENSCAFG00000000462,TPH2,2.674258935,1.225581083,1.006569872,1.217581727,0.223382962,0.842006
ENSCAFG00000000464,CNOT6,714.1714157,-0.36554456,0.385675325,-0.947803857,0.343229317,0.909976679
ENSCAFG00000000469,POP1,960.260614,-0.490136318,0.31690534,-1.546633194,0.121951721,0.741888459
