gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000026398,MAGEE2,94.55309641,0.074943219,0.265865107,0.00291786,0.422893245
ENSCAFG00000014161,IP6K1,196.5620065,0.07472584,0.498313222,NA,NA
ENSCAFG00000000851,ABRA,894.9293605,0.074005835,0.236487896,0.003399713,0.465853414
ENSCAFG00000020334,MPP5,108.3768947,0.071140429,0.237834522,0.003464315,0.466228733
ENSCAFG00000031563,NDUFV2,10.63519747,0.068981252,0.475449137,0.007313896,0.602366598
ENSCAFG00000002054,HACD4,145.6842327,0.068119193,0.560074031,NA,NA
ENSCAFG00000002709,NA,205.5250831,0.066512665,0.559606167,NA,NA
ENSCAFG00000013156,YARS2,137.2180602,0.066456558,0.22297001,0.004012697,0.48386707
ENSCAFG00000004147,NA,224.1513269,0.066038665,0.425282207,0.006275812,0.56306738
ENSCAFG00000025324,CSNK1G1,30.36621725,0.065946984,0.43086866,NA,NA
ENSCAFG00000006196,NA,314.3797202,0.065504499,0.543989616,0.010566426,0.7051915
ENSCAFG00000023821,MYL5,15.4464552,0.064305855,0.439404122,0.007257606,0.602366598
ENSCAFG00000003362,NA,13.62003025,0.063592179,0.455482149,NA,NA
ENSCAFG00000023107,HK3,4595.117239,0.062526661,0.407982896,0.006543444,0.576779688
ENSCAFG00000011970,SLC5A3,298.4100652,0.061734659,0.324603825,0.004323063,0.493222993
ENSCAFG00000042217,TMEM201,11.73466645,0.059374596,0.271836795,0.003986161,0.48386707
ENSCAFG00000046609,NA,618.0947382,0.058636158,0.305314089,0.004450231,0.493222993
ENSCAFG00000016866,LRRTM3,136.3986253,0.058272664,0.441237061,NA,NA
ENSCAFG00000009305,PPP1R42,575.9198848,0.058243617,0.275988156,0.004141863,0.493222993
ENSCAFG00000045229,NA,74.42506767,0.056720441,0.463920722,0.011146146,0.714918569
ENSCAFG00000005852,PDCD6IP,739.075744,0.055695629,0.452140994,0.011050947,0.714918569
ENSCAFG00000004152,GKN2,1260.309857,0.055566146,0.180848031,0.006107898,0.56306738
ENSCAFG00000031735,ZNF280C,34.63488226,0.055407704,0.302766962,0.004949041,0.525536814
ENSCAFG00000028712,NTN1,6.496523851,0.055154547,0.247217233,0.004408906,0.493222993
ENSCAFG00000003800,SYT3,81.43426127,0.054305952,0.375864714,0.007750146,0.608921207
ENSCAFG00000024864,RPS6KL1,955.11123,0.053704174,0.440529538,0.011424455,0.718924907
ENSCAFG00000001854,BTBD9,130.9050669,0.053440078,0.437497596,NA,NA
ENSCAFG00000019405,LYSMD2,22.43680104,0.05310526,0.396326697,0.009272407,0.659259396
ENSCAFG00000045919,NA,303.9863845,0.053068939,0.175544684,0.006536468,0.576779688
ENSCAFG00000009003,EIF4B,41.32295599,0.052571845,0.417681674,0.010725471,0.706916276
ENSCAFG00000009250,CCDC73,37.23075934,0.052285027,0.205362478,0.005361662,0.547826443
ENSCAFG00000007249,TCIM,77.87255245,0.051618594,0.3945416,NA,NA
ENSCAFG00000008929,CADPS,1238.77061,0.050582126,0.343917411,NA,NA
ENSCAFG00000003894,HSDL2,128.5940245,0.049910428,0.257573642,0.005212441,0.538130959
ENSCAFG00000016165,CGN,84.00551249,0.04978276,0.44579161,NA,NA
ENSCAFG00000047824,NA,55.63882505,0.049275394,0.417604822,NA,NA
ENSCAFG00000005535,FOSB,51.63791421,0.049108738,0.405782527,NA,NA
ENSCAFG00000049909,ERBB4,97.98079286,0.049011745,0.35668808,0.008928705,0.643934774
ENSCAFG00000005412,IQSEC1,8890.365344,0.048868063,0.181593052,0.006787533,0.591378546
ENSCAFG00000005801,KHK,85.78722528,0.048524637,0.427757257,NA,NA
ENSCAFG00000006929,OXGR1,278.4863246,0.048504854,0.150180937,0.006905525,0.594253624
ENSCAFG00000032222,PARS2,5602.153102,0.047295721,0.198089256,0.006080691,0.56306738
ENSCAFG00000017495,A2ML1,82.87300467,0.04675829,0.218264468,0.005672684,0.551641094
ENSCAFG00000039837,BRICD5,7.453647379,0.046695424,0.402371594,0.013239967,0.756763225
ENSCAFG00000017884,MFSD1,524.2342436,0.046561556,0.157628828,0.007827392,0.608921207
ENSCAFG00000029671,NA,574.6796745,0.044015242,0.176837143,0.007562436,0.603114262
