gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000048078,NA,2230.177587,-0.011685659,0.08690509,0.76415881,0.998894062
ENSCAFG00000010253,FDFT1,1476.265622,-0.011688058,0.090841015,0.746966421,0.998053935
ENSCAFG00000004573,POU6F2,140.4066062,-0.011694747,0.104775875,0.553064659,0.985611104
ENSCAFG00000003223,SOSTDC1,751.5091739,-0.011698974,0.093469462,0.728932721,0.995949216
ENSCAFG00000015440,CBLN4,756.2642908,-0.011699658,0.10123374,0.618670974,0.992102567
ENSCAFG00000020285,RAB3IL1,382.0439314,-0.011700994,0.100083467,0.64109354,0.994993451
ENSCAFG00000023925,MIIP,257.1295172,-0.011708213,0.178890872,0.436603042,0.967082309
ENSCAFG00000011959,TMEM45A,645.8850086,-0.011715591,0.098942716,0.661426433,0.995206357
ENSCAFG00000043715,ZBTB48,1524.9931,-0.011721246,0.102493358,0.593184889,0.987787025
ENSCAFG00000000432,SQSTM1,16296.97153,-0.011725535,0.108209739,0.506767269,0.982045681
ENSCAFG00000002018,OARD1,554.98723,-0.011728205,0.100278077,0.6366599,0.994115698
ENSCAFG00000005952,FAM107B,4846.772565,-0.011732776,0.093092903,0.731181428,0.996244943
ENSCAFG00000013096,KIF18A,204.9385653,-0.01173632,0.121115395,0.432468909,0.965054064
ENSCAFG00000015656,SH3BP4,146.4120898,-0.01173722,0.101928575,0.603840351,0.988951109
ENSCAFG00000017406,COLGALT2,199.3599284,-0.011742592,0.115979126,0.451020824,0.970427793
ENSCAFG00000016944,TRIM50,2530.896189,-0.011746346,0.09511021,0.7128746,0.995949216
ENSCAFG00000042967,MMEL1,117.1906453,-0.011751025,0.095011555,0.713777977,0.995949216
ENSCAFG00000009965,GK5,47.20015441,-0.011751851,0.101554987,0.61086879,0.989798757
ENSCAFG00000018306,EPHB4,2150.360218,-0.011753152,0.100861198,0.624619741,0.994115698
ENSCAFG00000012905,PDLIM5,943.245812,-0.011771354,0.095778865,0.705074041,0.995206357
ENSCAFG00000006323,MKRN2,9223.367291,-0.011775715,0.096788704,0.692627704,0.995206357
ENSCAFG00000004202,ETAA1,710.6527651,-0.01178836,0.095745951,0.705057949,0.995206357
ENSCAFG00000010585,MND1,77.35633801,-0.01179196,0.107230945,0.515955756,0.98407231
ENSCAFG00000016060,TMEM89,1900.22652,-0.011795591,0.099407352,0.65119104,0.995206357
ENSCAFG00000012768,NA,654.7440466,-0.011800266,0.093815403,0.723857988,0.995949216
ENSCAFG00000000428,MGAT4B,784.3377149,-0.011801077,0.104026199,0.562609009,0.985611104
ENSCAFG00000004331,IZUMO2,335.1968234,-0.011801664,0.105007321,0.546366933,0.985611104
ENSCAFG00000018766,ACOX3,335.6569873,-0.011815458,0.101920687,0.601866746,0.988441447
ENSCAFG00000014405,GALNT17,80.06969476,-0.011818906,0.213890435,NA,NA
ENSCAFG00000011917,CREB3L1,208.1032372,-0.011819278,0.100066124,0.638335435,0.994115698
ENSCAFG00000016770,CTLA4,908.1046568,-0.011823965,0.115408678,0.451325723,0.970427793
ENSCAFG00000005532,ACSS1,14.66244636,-0.011827576,0.13861193,0.406261241,0.957564519
ENSCAFG00000043451,POLR2E,106.5598593,-0.011831638,0.098342038,0.668549623,0.995206357
ENSCAFG00000000217,MC2R,592.5401103,-0.011834555,0.126787002,0.416928804,0.960258763
ENSCAFG00000005337,AMER3,945.0390292,-0.01183543,0.141386753,0.405403283,0.957564519
ENSCAFG00000001146,KIF3A,11.47604236,-0.011835875,0.124539343,0.421098414,0.9617237
ENSCAFG00000013390,ACOT13,822.2199281,-0.011842654,0.098934234,0.658365948,0.995206357
ENSCAFG00000002304,DDX58,1274.967233,-0.011843587,0.102235016,0.594883212,0.987787025
ENSCAFG00000017388,ZNF511,814.2556506,-0.011844495,0.128410729,0.414108291,0.959726128
ENSCAFG00000010580,INTS9,26.05959949,-0.011845218,0.097078809,0.687087748,0.995206357
ENSCAFG00000004361,IKZF1,994.1216764,-0.011851818,0.097747339,0.677326577,0.995206357
ENSCAFG00000017365,ETV5,14.37603996,-0.011853437,0.165592894,0.416842671,0.960258763
ENSCAFG00000010293,MCTP1,236.2808824,-0.011855409,0.102171726,0.595808606,0.987787025
ENSCAFG00000011801,NA,1491.27667,-0.011856602,0.094412863,0.717271822,0.995949216
ENSCAFG00000044053,ENO1,7.277761542,-0.011858928,0.154976417,0.408346911,0.958845059
ENSCAFG00000042629,NCBP3,36.45844352,-0.011859833,0.138525768,0.405266271,0.957564519
ENSCAFG00000045380,CDYL2,25.50688629,-0.01186431,0.097596858,0.679262316,0.995206357
ENSCAFG00000017377,EIF2S3,2420.207028,-0.011870618,0.102466669,0.589603241,0.987787025
ENSCAFG00000012762,NA,142.8714887,-0.011871159,0.1137281,0.45888039,0.970643878
ENSCAFG00000014720,AKAP13,42.85462139,-0.011882492,0.110119962,0.483981486,0.974959992
ENSCAFG00000041632,TBXA2R,23.53689193,-0.01189313,0.148446246,NA,NA
ENSCAFG00000046087,ANGPTL2,9.593730664,-0.011896036,0.102948869,0.579612856,0.986705096
ENSCAFG00000013592,SLC6A3,90.55497289,-0.011908072,0.096103773,0.698139563,0.995206357
ENSCAFG00000017232,NCF2,1118.385233,-0.011914941,0.102399662,0.58970308,0.987787025
ENSCAFG00000009999,CELA1,389.0755718,-0.011915031,0.099976599,0.637552704,0.994115698
ENSCAFG00000001569,GRM4,2357.437694,-0.011921284,0.100024425,0.636480163,0.994115698
ENSCAFG00000011071,MADD,5.711029776,-0.011921734,0.144552231,0.402576005,0.957564519
ENSCAFG00000008838,MICU3,21.83653146,-0.011923684,0.109540949,0.487916137,0.975672766
ENSCAFG00000009506,CEBPG,389.5193872,-0.011929099,0.235655006,NA,NA
ENSCAFG00000016089,ZMAT5,6199.433438,-0.011947213,0.101015148,0.616404642,0.991334593
ENSCAFG00000013774,LTO1,603.4406022,-0.011947406,0.114715994,0.451224914,0.970427793
ENSCAFG00000042874,TNFRSF14,14.17184586,-0.011949419,0.134577566,0.404474448,0.957564519
ENSCAFG00000017814,CCR5,13.71976338,-0.011952677,0.117778051,0.437199384,0.967483042
ENSCAFG00000011631,CCDC9B,1176.200068,-0.01195348,0.08416479,0.766694403,0.998894062
ENSCAFG00000013288,NA,208.217321,-0.011956472,0.223036244,0.487704208,0.975672766
