gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000009043,CSTF3,3083.561044,-0.034454566,0.106233006,0.317927662,0.888108334
ENSCAFG00000019467,RCC2,6.562505112,-0.034460904,0.156944882,0.129309186,0.764231683
ENSCAFG00000018809,VAMP1,72.45927932,-0.034466224,0.19202385,0.122208431,0.757789248
ENSCAFG00000015932,DYNC1I2,89.35029885,-0.034469586,0.131035127,0.161691055,0.802419396
ENSCAFG00000012361,VPS39,2059.874779,-0.034470466,0.106101729,0.318842575,0.888108334
ENSCAFG00000010990,NEK4,63.02033941,-0.03448236,0.119510662,0.206524044,0.833371183
ENSCAFG00000003236,LMBRD1,1021.729464,-0.034485884,0.125618236,0.177847679,0.815224966
ENSCAFG00000009666,POU6F1,64.32058699,-0.034489166,0.266694814,NA,NA
ENSCAFG00000011517,DNAJC17,25.70310353,-0.034490634,0.115442125,0.234951037,0.848440409
ENSCAFG00000005393,DMPK,378.8385107,-0.034507254,0.101777934,0.348105476,0.894636314
ENSCAFG00000008180,HSPH1,661.2290157,-0.034513944,0.113976065,0.247118362,0.858807419
ENSCAFG00000002804,TRAM2,1224.943746,-0.03453348,0.105973781,0.319283672,0.888108334
ENSCAFG00000013977,AUTS2,240.9387542,-0.034533537,0.113162913,0.254206677,0.860549311
ENSCAFG00000020872,NA,5.454474064,-0.034542106,0.153338371,0.131082474,0.766856268
ENSCAFG00000031142,NA,514.1675509,-0.034544825,0.103710165,0.335821157,0.892076198
ENSCAFG00000045619,NA,458.9278451,-0.034548298,0.110007957,0.2835594,0.87215919
ENSCAFG00000007816,OR6C69,417.199106,-0.034551852,0.107519092,0.306211072,0.882001075
ENSCAFG00000004234,TAF1B,1221.522102,-0.034556097,0.097509388,0.36665785,0.90108815
ENSCAFG00000000842,ABRA,3158.642819,-0.034563611,0.117146054,0.221445171,0.843302782
ENSCAFG00000000928,TBC1D22A,950.9905061,-0.034563998,0.103863978,0.334594924,0.892076198
ENSCAFG00000012370,BRWD1,581.1226424,-0.03456539,0.106429279,0.315306022,0.887225734
ENSCAFG00000001181,ARFGAP3,2644.775533,-0.034574443,0.124618466,0.181053164,0.817704899
ENSCAFG00000044334,NA,9.524285997,-0.034604442,0.111560933,0.26846776,0.867173687
ENSCAFG00000006799,LIPT2,277.572514,-0.0346247,0.111864566,0.265463367,0.865979001
ENSCAFG00000012804,AZIN2,1312.687896,-0.034640067,0.100350916,0.354173752,0.89696343
ENSCAFG00000004838,NA,140.3345876,-0.034660477,0.113049959,0.254262205,0.860549311
ENSCAFG00000031857,NA,417.809965,-0.034663466,0.108923704,0.292669515,0.878172365
ENSCAFG00000014610,EGFL6,29.00785737,-0.034665942,0.235420487,0.130922633,0.766853861
ENSCAFG00000001307,CDKN2AIPNL,890.1300237,-0.03472685,0.216810367,0.124565898,0.759449858
ENSCAFG00000012078,NEURL2,538.4386536,-0.034776713,0.116901783,0.221707397,0.843302782
ENSCAFG00000006546,GPC5,500.4219073,-0.034788205,0.13232424,0.156679168,0.79734822
ENSCAFG00000043372,PKN2,14.91522419,-0.034794377,0.146091678,0.135664032,0.774348619
ENSCAFG00000001688,MLANA,21.15900442,-0.034795118,0.277083401,0.150079789,0.790556816
ENSCAFG00000003129,ZNF667,2851.588558,-0.03479748,0.106542898,0.312263044,0.884257834
ENSCAFG00000018498,DDHD1,1570.295486,-0.034799805,0.103717061,0.333294056,0.890964767
ENSCAFG00000003316,PGAP4,6.26936599,-0.034804256,0.132335128,0.156556451,0.79734822
ENSCAFG00000030252,LLGL1,235.2284909,-0.034826381,0.262848199,0.142080366,0.782637464
ENSCAFG00000030765,SGIP1,318.000325,-0.034839694,0.101704957,0.345147424,0.893115129
ENSCAFG00000018877,PLAU,257.3217623,-0.034897232,0.301454596,0.164008065,0.804865018
ENSCAFG00000008385,NA,993.1138947,-0.03490736,0.099783625,0.354028902,0.896780252
ENSCAFG00000001496,BRD8,1103.833303,-0.034924996,0.100850028,0.348788992,0.894857351
ENSCAFG00000010354,PFN2,1050.477368,-0.034925512,0.106233871,0.313609058,0.885680183
ENSCAFG00000013651,TIMMDC1,325.9349979,-0.034937225,0.267245688,0.143516347,0.782637464
ENSCAFG00000025209,NA,374.0687841,-0.034951492,0.107404618,0.303668877,0.881313548
ENSCAFG00000046087,NA,9.475372432,-0.034952665,0.131138567,0.158445977,0.800214402
ENSCAFG00000010747,C15H4orf45,226.5956208,-0.034966281,0.110492836,0.275607612,0.86848614
ENSCAFG00000000816,DCAF13,10889.72191,-0.034978327,0.099817773,0.353141064,0.896780252
ENSCAFG00000011733,CPQ,2953.24222,-0.035022937,0.127934715,0.166724345,0.807276166
ENSCAFG00000009182,CAMK4,475.9890153,-0.035040686,0.112412692,0.257184244,0.862346649
ENSCAFG00000019873,FARSB,1182.216891,-0.035041514,0.11788374,0.213004093,0.836830678
ENSCAFG00000006266,C1H19orf54,368.2061907,-0.035041799,0.163816513,0.122763491,0.757789248
ENSCAFG00000002565,ADGRF5,616.8115427,-0.035057043,0.090421065,0.374045261,0.902349031
ENSCAFG00000003415,TMC4,6571.583788,-0.035067448,0.116858756,0.219995891,0.8412826
ENSCAFG00000006710,DZANK1,1814.203907,-0.035071959,0.1036114,0.331367543,0.890496017
ENSCAFG00000018285,MSANTD1,5093.868195,-0.035102594,0.105602824,0.31693761,0.888108334
ENSCAFG00000007373,ZMAT2,399.7144233,-0.035111577,0.090187608,0.373509006,0.902349031
ENSCAFG00000028744,OTUB2,149.0094367,-0.035143588,0.106449919,0.30990897,0.882985979
ENSCAFG00000009292,RILPL1,324.7396242,-0.035162311,0.126593336,0.170139007,0.807276166
ENSCAFG00000032630,L1CAM,2606.240347,-0.035168298,0.086930966,0.37224382,0.902285018
ENSCAFG00000014170,WSCD2,1515.19123,-0.035173584,0.123571523,0.181464365,0.817704899
ENSCAFG00000018067,STAG3,491.1753261,-0.035173922,0.11065771,0.272418504,0.867173687
ENSCAFG00000039915,G6PD,839.8815535,-0.035176488,0.110719878,0.271819919,0.867173687
ENSCAFG00000043472,CLCA4,871.5920091,-0.035209525,0.110027733,0.277980325,0.869371496
ENSCAFG00000011906,NA,2063.190342,-0.03522794,0.102484974,0.336852184,0.892076198
ENSCAFG00000000397,ADAMTS2,7838.144155,-0.035228599,0.129621208,0.16064327,0.802280886
ENSCAFG00000016792,PPP2R3C,444.1569188,-0.035256144,0.10971279,0.280507761,0.871665102
ENSCAFG00000017892,NCKAP1,8729.79389,-0.035263289,0.100498093,0.347077453,0.894510423
ENSCAFG00000024225,ZC2HC1C,291.3251595,-0.03527343,0.092830527,0.369502371,0.901459881
ENSCAFG00000019971,RAB15,1032.041022,-0.035305218,0.126311034,0.170208163,0.807276166
ENSCAFG00000042279,NCS1,8.873066755,-0.035316075,0.120095729,0.197546312,0.830444286
ENSCAFG00000004784,HSD17B14,335.4070707,-0.03531909,0.107677167,0.298147065,0.881077813
ENSCAFG00000010887,TRAFD1,911.6117651,-0.035324564,0.098068267,0.356522503,0.898363672
ENSCAFG00000009612,NA,8.841747355,-0.035347899,0.226917004,0.123435419,0.758400579
ENSCAFG00000031863,LIPG,41.88024891,-0.035364803,0.118915944,0.204177275,0.833371183
ENSCAFG00000013146,DDIT4L,2765.96732,-0.035373208,0.089076377,0.370654109,0.901459881
ENSCAFG00000005811,PINLYP,739.29211,-0.035393563,0.116783303,0.218308965,0.840525434
ENSCAFG00000017821,DNAJC10,2485.497449,-0.035395074,0.103937194,0.326142536,0.889505146
ENSCAFG00000014496,FAM241A,401.8428641,-0.035395853,0.106553699,0.306833373,0.882001075
ENSCAFG00000020354,NA,242.4604125,-0.035422078,0.2507762,NA,NA
ENSCAFG00000044604,NA,150.2408218,-0.035434051,0.111476158,0.262813398,0.864754928
ENSCAFG00000005107,C5AR2,12.67753921,-0.03545766,0.120795674,0.192811966,0.827154888
ENSCAFG00000008691,DEFB128,2090.641945,-0.035460485,0.104623439,0.320833633,0.888205612
ENSCAFG00000009307,KIF11,325.0772992,-0.035475542,0.135917433,0.145407066,0.786252445
ENSCAFG00000022728,TP53,2860.07487,-0.035478238,0.127700767,0.164647557,0.80623678
ENSCAFG00000043193,GAPVD1,10428.3756,-0.035479171,0.104251892,0.323233252,0.888437967
ENSCAFG00000017421,SYTL5,854.125962,-0.035513811,0.094086945,0.364919866,0.900529717
ENSCAFG00000032617,PLEKHN1,350.0863667,-0.035535527,0.107170555,0.300566231,0.881097726
ENSCAFG00000016482,SH2D1B,2564.483925,-0.035535618,0.109130373,0.283540557,0.87215919
ENSCAFG00000008327,NA,5273.330293,-0.035545336,0.090375376,0.368462809,0.901459881
ENSCAFG00000013872,LRRC58,492.5870419,-0.035553126,0.096152639,0.359983906,0.898745928
ENSCAFG00000044891,NA,14.12371351,-0.035557624,0.12888002,0.160700396,0.802280886
ENSCAFG00000016649,PTPN23,441.573514,-0.035582665,0.097607394,0.355384858,0.897826414
ENSCAFG00000008488,NA,775.0007641,-0.035584614,0.111418711,0.262198228,0.864754928
ENSCAFG00000010791,CIAPIN1,522.0529388,-0.035599072,0.1825264,0.115727828,0.746184257
ENSCAFG00000016353,H4-16,526.0916733,-0.035603765,0.109191135,0.28244118,0.871665102
ENSCAFG00000045750,NA,6.220996559,-0.03561291,0.130592532,0.15582904,0.796970911
ENSCAFG00000019369,GNB5,4207.348804,-0.035633125,0.104661441,0.318976952,0.888108334
ENSCAFG00000009302,RALY,320.7607057,-0.03564462,0.104823861,0.31772569,0.888108334
ENSCAFG00000012395,ABCC11,12863.99476,-0.035649187,0.107755835,0.294669242,0.880186778
ENSCAFG00000014561,EPB41,497.9113133,-0.035738315,0.122020281,0.184876366,0.822008696
ENSCAFG00000012554,DCAF1,3627.709431,-0.035761758,0.11226324,0.253168085,0.8600062
ENSCAFG00000012521,BACE2,1516.814903,-0.035776903,0.104246475,0.320510783,0.888108334
ENSCAFG00000020883,CD68,11.9212226,-0.035777298,0.119170116,0.19993663,0.833371183
ENSCAFG00000016439,DOCK1,3216.434441,-0.035788263,0.097374132,0.353982028,0.896780252
