,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000483,TCF19,648.4588717,0.107396901,0.230093241,0.466753831,0.640676011,0.999485158
ENSCAFG00000000484,STK3,476.611127,-0.087538728,0.30262865,-0.289261204,0.772381499,0.999485158
ENSCAFG00000000485,NA,1.222880546,0.204846145,1.529775598,0.133906009,0.893476899,NA
ENSCAFG00000000487,DLA88,5138.334545,-0.16093138,0.850674265,-0.189180967,0.849950985,0.999485158
ENSCAFG00000000488,KCNS2,0.361147618,1.975461031,3.078104846,0.641778344,0.521017113,NA
ENSCAFG00000000491,NA,99.62595992,-0.021528359,0.176882654,-0.121709838,0.903128821,0.999485158
ENSCAFG00000000493,OSR2,121.5909948,-0.146176681,0.732996614,-0.199423405,0.841931554,0.999485158
ENSCAFG00000000494,OR2AI2,0.07054962,0.40281076,3.11653965,0.129249362,0.897160339,NA
ENSCAFG00000000497,NA,14.68668878,1.577610804,2.639335584,0.597730282,NA,NA
ENSCAFG00000000498,NA,0.092437807,-0.558974256,3.11653965,-0.179357338,0.857657127,NA
ENSCAFG00000000502,NA,34.63067415,0.208224923,0.433252411,0.480608804,0.630794557,0.999485158
ENSCAFG00000000506,MCCD1,8.609936894,0.42900441,0.738143585,0.581193712,0.561109905,0.999485158
ENSCAFG00000000507,VPS13B,1971.70871,-0.611494651,0.459377422,-1.331137801,0.183143673,0.999094281
ENSCAFG00000000509,DDX39B,5662.533709,-0.068294854,0.252613133,-0.270353536,0.786888283,0.999485158
ENSCAFG00000000510,PRR16,74.62856191,3.900014306,2.371093148,1.644816995,0.100007556,0.957085861
ENSCAFG00000000512,SRFBP1,661.2845307,0.225076218,0.327243195,0.687794954,0.491581914,0.999485158
ENSCAFG00000000513,ATP6V1G2,12.85649809,0.800888753,0.896740784,0.89311066,0.371797915,0.999485158
ENSCAFG00000000515,LTA,1.104913513,1.011393263,2.29179844,0.441309866,0.658988684,NA
ENSCAFG00000000517,TNF,252.4985622,6.446772646,2.884782806,2.23475148,0.025433669,0.741947158
ENSCAFG00000000519,NA,12.30366085,-1.512015448,1.082722029,-1.396494583,0.162565611,0.999094281
ENSCAFG00000000522,SNCAIP,56.81926218,0.550372739,2.095316253,0.2626681,0.792806406,0.999485158
ENSCAFG00000000525,GLIPR1,1203.631076,-0.602261061,0.868198595,-0.693690435,0.487876366,0.999485158
ENSCAFG00000000529,RGS22,97.72432688,-0.355573783,0.479990425,-0.740793492,0.458818662,0.999485158
ENSCAFG00000000530,SNX2,1910.105031,-0.071400136,0.224702062,-0.317754698,0.750671017,0.999485158
ENSCAFG00000000532,NA,83.09051767,0.434390464,0.34670103,1.25292522,0.210232923,0.999485158
ENSCAFG00000000533,PRRC2A,16087.60813,0.049843332,0.240861453,0.206937771,0.836058458,0.999485158
ENSCAFG00000000534,SNX24,165.838006,-0.518064843,0.670873496,-0.77222434,0.439981568,0.999485158
ENSCAFG00000000535,MYCT1,0.289288346,-1.667344936,3.104152132,-0.53713377,0.591175216,NA
ENSCAFG00000000538,VIP,0,NA,NA,NA,NA,NA
ENSCAFG00000000540,NA,129.8980899,-0.394465709,0.351939985,-1.120832318,0.262359245,0.999485158
ENSCAFG00000000543,CEP120,1316.977483,0.048671592,0.278605784,0.174696991,0.861317732,0.999485158
ENSCAFG00000000544,FBXO43,12.19826177,0.772996304,0.94734547,0.815960311,0.414522836,0.999485158
ENSCAFG00000000547,FBXO5,812.3177905,-0.051377641,0.134314164,-0.382518415,0.702076872,0.999485158
ENSCAFG00000000549,MTRF1L,312.6977884,-0.075296653,0.206110482,-0.365321806,0.714871203,0.999485158
ENSCAFG00000000550,RGS17,121.37147,0.332401567,0.677091961,0.49092529,0.623479289,0.999485158
ENSCAFG00000000554,NA,365.993474,-0.106473106,0.319190284,-0.333572514,0.738702162,0.999485158
ENSCAFG00000000555,RNF19A,2039.770601,0.022685203,0.442523953,0.051263221,0.959115775,0.999485158
ENSCAFG00000000557,CSNK1G3,1073.74217,-0.173627408,0.383711595,-0.452494557,0.650912742,0.999485158
ENSCAFG00000000558,ACR,4.18680876,-2.013545902,1.227033924,-1.640986335,0.100800252,0.957085861
ENSCAFG00000000561,MIOX,0.786145439,-0.565712673,1.835134717,-0.308267654,0.757878677,NA
ENSCAFG00000000562,NA,535.8513436,-0.423736861,0.657234947,-0.644726612,0.519104367,0.999485158
ENSCAFG00000000563,SNX31,875.6899744,-0.056356044,0.343633126,-0.164000614,0.869730661,0.999485158
ENSCAFG00000000564,SCO2,532.6293613,0.177928198,0.204919326,0.868284125,0.385238811,0.999485158
ENSCAFG00000000565,NA,41.20629265,0.277954671,0.506650361,0.5486124,0.583271474,0.999485158
ENSCAFG00000000566,ARSA,2831.378717,0.035061606,0.459226997,0.076349184,0.939141297,0.999485158
ENSCAFG00000000567,PABPC1,60248.12488,0.264392781,0.405004342,0.652814681,0.513875758,0.999485158
ENSCAFG00000000568,MAPK8IP2,88.58399492,0.289894757,0.946846881,0.306168572,0.7594763,0.999485158
ENSCAFG00000000569,ZNF608,1085.524808,-0.126938975,0.768712198,-0.16513199,0.868840095,0.999485158
ENSCAFG00000000570,SCAF8,1720.134239,-0.231904161,0.224485625,-1.033046819,0.301581989,0.999485158
ENSCAFG00000000572,NA,1175.102649,-0.132311653,0.410477629,-0.322335844,0.747198281,0.999485158
ENSCAFG00000000575,BAG6,9331.252976,0.058175987,0.545153612,0.106714852,0.9150152,0.999485158
ENSCAFG00000000577,TIAM2,1216.929686,1.176420892,0.852075193,1.380653846,0.167385419,0.999094281
ENSCAFG00000000578,NA,69.4663548,-0.253195176,0.290389455,-0.871915875,0.383254273,0.999485158
ENSCAFG00000000579,CHKB,391.7024723,0.227356886,0.359861576,0.631789834,0.527524217,0.999485158
ENSCAFG00000000580,NA,6073.653872,-0.112217435,0.261991471,-0.428324765,0.668414691,0.999485158
ENSCAFG00000000581,TFB1M,192.9602357,0.16287593,0.348706801,0.467085613,0.640438627,0.999485158
ENSCAFG00000000582,GRAMD2B,841.5175087,-0.186941333,0.44499628,-0.420096395,0.674415036,0.999485158
ENSCAFG00000000583,CLDN20,0.272911507,0.402815837,2.779187662,0.144940136,0.884758137,NA
ENSCAFG00000000584,ZNF706,1232.185611,-0.118467259,0.287314867,-0.412325545,0.680100828,0.999485158
ENSCAFG00000000586,CPT1B,403.0828118,0.299086161,0.528675307,0.565727501,0.571579037,0.999485158
ENSCAFG00000000587,GRHL2,42.6732227,1.262693419,2.430398347,0.519541754,0.603383004,0.999485158
ENSCAFG00000000588,ALDH7A1,1764.75348,-0.276564115,0.48855842,-0.566081975,0.571338056,0.999485158
ENSCAFG00000000589,NOX3,0,NA,NA,NA,NA,NA
ENSCAFG00000000590,PHAX,1012.741258,-0.152587871,0.251664593,-0.606314415,0.544305989,0.999485158
ENSCAFG00000000592,TEX43,0.400663587,0.406588115,1.694943268,0.239883023,0.810420942,NA
ENSCAFG00000000593,LMNB1,7055.725107,-0.238914552,0.306723733,-0.778924244,0.436024341,0.999485158
ENSCAFG00000000594,MARCHF3,1244.416865,0.561725867,1.046552431,0.536739346,0.591447674,0.999485158
ENSCAFG00000000595,NA,5.563735275,0.366949032,0.919861748,0.398917591,0.689953927,0.999485158
ENSCAFG00000000598,APOM,42.99321408,-0.138116389,0.28780784,-0.479890989,0.631304909,0.999485158
ENSCAFG00000000600,C6orf47,142.0200455,-0.564327712,0.31870314,-1.770700196,0.07661057,0.921082891
ENSCAFG00000000601,GPANK1,500.0282163,-0.031239797,0.385642358,-0.081007172,0.935436248,0.999485158
ENSCAFG00000000602,RRM2B,250.0818091,-0.510734906,0.885936825,-0.576491338,0.564283123,0.999485158
ENSCAFG00000000603,NCAPH2,2616.228989,0.08398448,0.173971101,0.482749604,0.629273537,0.999485158
ENSCAFG00000000604,NA,3575.327256,-0.092383382,0.292196775,-0.316168384,0.751874704,0.999485158
ENSCAFG00000000606,LY6G5C,15.11175193,0.401648104,0.690822773,0.581405419,0.560967246,0.999485158
ENSCAFG00000000607,ABHD16A,1322.578474,-0.211526886,0.423844979,-0.499066632,0.617732443,0.999485158
ENSCAFG00000000608,ARID1B,2586.976246,-0.355271856,0.410131157,-0.866239617,0.386358772,0.999485158
ENSCAFG00000000609,ADM2,1.553326471,-0.347859704,1.231958749,-0.28236311,0.777665099,0.999485158
ENSCAFG00000000610,NA,0.542177313,0.964158149,2.828444551,0.340879282,0.733194462,NA
ENSCAFG00000000611,MEGF10,59.28524388,-1.947225415,0.965450193,-2.01690924,0.043704986,0.830520972
ENSCAFG00000000612,SBF1,4948.029461,-0.041501006,0.267359173,-0.155225668,0.876643413,0.999485158
ENSCAFG00000000613,NA,0.258696987,-1.541775911,3.109979434,-0.49575116,0.620069987,NA
ENSCAFG00000000614,LY6G6C,1.613048578,0.522452772,1.601483379,0.32623053,0.744249944,0.999485158
ENSCAFG00000000615,MPIG6B,13.24372893,-1.79659147,0.813219254,-2.209233809,0.027158382,0.754988612
ENSCAFG00000000616,TMEM242,657.9799258,0.171226087,0.308202885,0.555562896,0.578509702,0.999485158
ENSCAFG00000000617,DDAH2,258.3281278,-0.480399014,0.467407152,-1.027795599,0.304045987,0.999485158
ENSCAFG00000000618,ZDHHC14,96.61191805,-0.953879029,1.139824709,-0.83686467,0.402668641,0.999485158
ENSCAFG00000000619,UBR5,4799.570406,-0.045101213,0.374566602,-0.120409062,0.904159113,0.999485158
ENSCAFG00000000620,PPP6R2,2411.620891,0.415790233,0.27650813,1.50371793,0.132654011,0.987967059
ENSCAFG00000000621,CLIC1,9215.337831,-0.304199737,0.279161817,-1.089689629,0.275849886,0.999485158
ENSCAFG00000000622,PRRC1,2100.574896,0.144200384,0.346702058,0.415920185,0.677468409,0.999485158
ENSCAFG00000000624,NA,11.84500168,0.135859208,0.513823142,0.264408503,0.79146516,0.999485158
ENSCAFG00000000625,CCDC192,3.172563764,1.95889535,1.723140187,1.136817169,0.255614724,0.999485158
ENSCAFG00000000626,NA,112.076984,0.014970708,0.602598654,0.02484358,0.98017973,0.999827952
ENSCAFG00000000627,SNX9,2166.076245,-0.225557856,0.508004611,-0.444007497,0.657037164,0.999485158
ENSCAFG00000000628,SAPCD1,4.609772848,-0.541175973,1.086546283,-0.498069876,0.618434792,0.999485158
ENSCAFG00000000629,DENND6B,703.7040648,0.416040644,0.429484966,0.968696642,0.332696568,0.999485158
ENSCAFG00000000630,VWA7,82.52478394,0.185371417,0.736386302,0.251731212,0.80124883,0.999485158
ENSCAFG00000000632,NA,149.0435718,-0.142678863,0.201225199,-0.709050677,0.478293029,0.999485158
ENSCAFG00000000634,NA,16.87237622,0.400363944,0.302723873,1.322538392,0.185988934,0.999094281
ENSCAFG00000000636,VARS1,13071.76887,-0.136998696,0.303664842,-0.451150996,0.651880726,0.999485158
ENSCAFG00000000637,SLC12A2,1645.991624,0.22799652,0.642866506,0.354656088,0.722847252,0.999485158
ENSCAFG00000000638,KLF10,1856.392445,0.069159176,0.352090512,0.196424425,0.84427798,0.999485158
ENSCAFG00000000639,HSPA1L,69.46136728,-0.188757912,0.478739082,-0.394281393,0.693373299,0.999485158
ENSCAFG00000000641,NA,1006.952988,-0.310347618,0.580731148,-0.534408426,0.593058991,0.999485158
ENSCAFG00000000642,NEU1,2038.322803,-0.144309236,0.267311828,-0.539853539,0.589298041,0.999485158
ENSCAFG00000000643,AZIN1,4921.165205,0.215265159,0.359400499,0.598956206,0.549202089,0.999485158
