,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000372,VTA1,850.7720464,0.183310119,0.626166544,0.292749781,0.769713416,0.991783037
ENSCAFG00000000373,ADGRG6,2986.973892,-0.21947797,0.355284589,-0.617752576,0.536738449,0.965906411
ENSCAFG00000000374,AVIL,174.1448322,-0.879585158,0.990945828,-0.887621839,0.374744202,0.945404727
ENSCAFG00000000376,HIVEP2,145.5941984,-0.275356687,0.426285902,-0.645943687,0.518315826,0.964166297
ENSCAFG00000000377,AIG1,129.2020296,-0.064759243,0.328052142,-0.197405336,0.843510354,0.995735852
ENSCAFG00000000378,NA,355.9782379,-0.424956346,0.409185694,-1.038541551,0.299018001,0.917489947
ENSCAFG00000000379,ADAT2,1015.315787,0.054130116,0.336590612,0.160818853,0.872236076,0.997394565
ENSCAFG00000000380,PEX3,1414.067483,-0.603610665,0.324617782,-1.859450401,0.062963323,0.679809013
ENSCAFG00000000381,CTDSP2,2876.620299,0.255502247,0.318713839,0.801666625,0.422745827,0.950196011
ENSCAFG00000000384,FUCA2,330.6431565,-0.305559359,1.361056488,-0.2245016,0.822367022,0.993127888
ENSCAFG00000000385,ATP23,1510.871435,-0.200011867,0.262607348,-0.761638502,0.446275789,0.950196011
ENSCAFG00000000386,LRIG3,22.21054103,0.411365617,0.490224644,0.839136959,0.401392458,0.948642785
ENSCAFG00000000387,PHACTR2,1090.969409,-0.098771578,0.356479765,-0.27707485,0.781722633,0.991783037
ENSCAFG00000000388,NA,160.2791832,-0.459363997,0.256812308,-1.788714884,0.073660745,0.701638998
ENSCAFG00000000390,SLC16A7,1111.32662,-0.031038383,0.233494346,-0.132929912,0.894248811,0.997394565
ENSCAFG00000000393,ZC2HC1B,2092.682491,-0.295948993,0.24528359,-1.206558471,0.227602228,0.896568817
ENSCAFG00000000394,PLAGL1,721.4260386,-0.62128205,0.338941183,-1.833008444,0.066801315,0.681734091
ENSCAFG00000000395,SERF2,1843.945819,0.193695883,0.388951652,0.497994756,0.618487738,0.975964727
ENSCAFG00000000396,STX11,1861.413111,-0.833490684,0.331792758,-2.512082204,0.012002113,0.361672175
ENSCAFG00000000397,USP15,8610.799931,-0.396129158,0.550168135,-0.720014725,0.47151593,0.956728609
ENSCAFG00000000398,UTRN,731.2773087,1.032524015,0.647398672,1.594881268,0.110738789,0.787741572
ENSCAFG00000000399,NA,679.4112689,0.457842039,0.873626892,0.524070451,0.60022954,0.97531404
ENSCAFG00000000400,EPM2A,775.7619289,-0.530921732,0.364365358,-1.457113638,0.145085014,0.837684085
ENSCAFG00000000402,FBXO30,71.14075401,-2.682170702,1.441871424,-1.860201026,0.06285709,0.679809013
ENSCAFG00000000405,NA,300.1901083,1.498307074,1.182409659,1.267164102,0.205096619,0.882931686
ENSCAFG00000000406,GRM6,2199.560325,-0.35566582,0.262054846,-1.357219017,0.17471163,0.869890565
ENSCAFG00000000407,MON2,1552.024875,-0.612686314,0.481166989,-1.273334059,0.202899526,0.882931686
ENSCAFG00000000411,ADAMTS2,1679.084606,-0.309566402,0.337788328,-0.916450856,0.359430472,0.940632867
ENSCAFG00000000412,SHPRH,649.8967734,-0.451844132,0.583628598,-0.774198065,0.438813672,0.950196011
ENSCAFG00000000413,HNRNPH1,6057.823392,0.179613135,0.354264588,0.507002791,0.612152861,0.975964727
ENSCAFG00000000414,PPM1H,222.9581144,-0.498539889,0.576358624,-0.864982092,0.387048618,0.9457391
ENSCAFG00000000415,GRM1,3429.625338,-0.351286855,0.553107961,-0.635114445,0.525353777,0.965870797
ENSCAFG00000000416,AVPR1A,1431.300481,-0.423867612,0.230367844,-1.839959971,0.065774114,0.679809013
ENSCAFG00000000417,NA,3043.291685,-0.416872701,0.578443228,-0.720680408,0.471106169,0.956728609
ENSCAFG00000000418,NA,4140.395703,-0.192937535,0.631059858,-0.305735712,0.75980588,0.991783037
ENSCAFG00000000419,RUFY1,5364.498083,0.540202326,1.187888674,0.454758377,0.649283078,0.981272364
ENSCAFG00000000422,SRGAP1,1068.161929,-0.207141432,0.309781729,-0.668668977,0.503706661,0.96102189
ENSCAFG00000000423,CBY3,409.4729237,-0.054316437,0.243298603,-0.223250099,0.823340863,0.993127888
ENSCAFG00000000424,CANX,3244.571932,-0.033984713,0.221890366,-0.153159932,0.878272154,0.997394565
ENSCAFG00000000425,MAML1,567.0687153,-0.297974268,0.292940102,-1.017184965,0.309065447,0.922117953
ENSCAFG00000000427,C10H12orf56,2020.393207,-0.013068516,0.341500738,-0.038267901,0.969474084,0.998520288
ENSCAFG00000000428,XPOT,706.0918358,-0.15459757,0.493472304,-0.313285201,0.754063993,0.991783037
ENSCAFG00000000431,STXBP5,658.4635944,-0.521202476,0.583445888,-0.893317594,0.371687119,0.944973323
ENSCAFG00000000432,LTC4S,14343.34425,-0.481432601,0.599019013,-0.803701703,0.42156927,0.950196011
ENSCAFG00000000433,MGAT4B,3010.055072,2.975364293,1.818312986,1.636332313,0.101770057,0.771253432
ENSCAFG00000000436,TBK1,1193.843537,-0.725182767,0.653627269,-1.109474469,0.267225553,0.909477431
ENSCAFG00000000437,GNS,3486.124554,-0.417219496,0.194273733,-2.147585726,0.03174668,0.564282326
